Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200.0,20300.0,24300.0,27300.0,27900.0,29000.0,29000.0,29300.0,30000.0,29400.0,28700.0,29900.0,29900.0,29600.0,31200.0,29700.0,28100.0,28000.0,29700.0,29700.0
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,346.0,336.0,360.0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550.0,3280.0,3160.0,3180.0,3250.0,3250.0,3230.0,3240.0,3320.0,3210.0,3000.0,2930.0,2670.0,1960.0,1930.0,2150.0,2360.0,2450.0,2490.0,2460.0,2450.0,2470.0,2720.0,2710.0,2900.0,3220.0
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.0,1800.0,1820.0,1800.0,1740.0,1740.0,1800.0,1750.0,1690.0,1810.0,1610.0,1160.0,1090.0,1200.0,1310.0,1490.0,1630.0,1460.0,1600.0,1820.0,1960.0,2140.0,2250.0,2380.0,2520.0,2680.0
Andorra,,,,,,,,,,,,,,,,,,,,,35400.0,35200.0,36200.0,37100.0,37500.0,36200.0,36200.0,36100.0,35600.0,34500.0,34000.0,32700.0,31700.0,30900.0,30100.0,29500.0,29200.0,29600.0,29900.0,30100.0,30100.0,29600.0,28800.0,27500.0,27400.0,27600.0,28700.0,31300.0,32400.0,33600.0,34300.0,36000.0,36200.0,37600.0,39000.0,39800.0
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,99500.0,99700.0,105000.0,91000.0,98600.0,112000.0,109000.0,95400.0,86200.0,85100.0,77700.0,62400.0,60900.0,55900.0,59200.0,66100.0,62900.0,61300.0,58700.0,59400.0,60200.0,60600.0,62300.0,59300.0,57900.0,60800.0,58500.0,56900.0,58000.0,58000.0,53900.0
Argentina,,,,,,,,,,,7360.0,7640.0,7450.0,6950.0,7530.0,8200.0,8030.0,8160.0,8430.0,9110.0,9240.0,9610.0,9610.0,9730.0,10100.0,9940.0,9590.0,10100.0,9510.0,10300.0,10300.0,9630.0,9410.0,9660.0,9660.0,9010.0,9410.0,9520.0,9270.0,8480.0,8150.0,8770.0,9340.0,9970.0,10400.0,10000.0,10400.0,11100.0,11400.0,10900.0,10700.0,10100.0,8940.0,9630.0,10400.0,11200.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,1470.0,872.0,814.0,879.0,959.0,1030.0,1080.0,1160.0,1210.0,1290.0,1420.0,1620.0,1860.0,2060.0,2360.0
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600.0,12600.0,12700.0,12600.0
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,5570.0,5830.0,6310.0,6830.0,7100.0,7090.0,7470.0,8230.0,8860.0,9890.0,10500.0,11100.0,11600.0,11900.0,12000.0,11900.0,12300.0,12800.0,12000.0,12500.0,12900.0,13300.0,13500.0,14100.0,13200.0,13200.0,13800.0,14400.0,15100.0
Australia,,,,,,,,,,,20000.0,20100.0,19800.0,20700.0,21700.0,22500.0,22500.0,23700.0,24400.0,25600.0,26900.0,27100.0,27600.0,27900.0,28300.0,28400.0,28800.0,29500.0,29400.0,30300.0,30800.0,31300.0,31900.0,30800.0,31800.0,33000.0,33800.0,34100.0,35500.0,36300.0,37000.0,36400.0,36100.0,37200.0,38300.0,39300.0,40200.0,41400.0,42800.0,44500.0,45700.0,45900.0,47200.0,48000.0,49400.0,50300.0
Austria,,,,,,,,,,,12000.0,12600.0,12900.0,13300.0,14100.0,14500.0,15200.0,15500.0,16100.0,17100.0,18100.0,18900.0,20000.0,20900.0,21600.0,21600.0,22700.0,23800.0,23800.0,25100.0,25500.0,25400.0,25900.0,26700.0,26700.0,27400.0,28000.0,28400.0,29300.0,30300.0,31300.0,32100.0,32400.0,32299.0,32900.0,33800.0,34500.0,35200.0,36400.0,37600.0,38800.0,39200.0,39600.0,39800.0,40600.0,41300.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870.0,2810.0,2140.0,1620.0,1280.0,1120.0,1120.0,1180.0,1280.0,1370.0,1500.0,1640.0,1780.0,1950.0,2110.0,2670.0
Burundi,,,,,,,,,,,285.0,241.0,258.0,264.0,275.0,279.0,285.0,316.0,308.0,296.0,353.0,357.0,331.0,350.0,343.0,341.0,361.0,394.0,380.0,377.0,371.0,406.0,391.0,395.0,385.0,418.0,420.0,431.0,440.0,434.0,439.0,450.0,445.0,409.0,387.0,351.0,319.0,311.0,322.0,315.0,307.0,306.0,311.0,298.0,303.0,296.0
Belgium,,,,,,,,,,,11700.0,12300.0,12900.0,13300.0,14100.0,14500.0,14800.0,15300.0,15900.0,16900.0,17800.0,18500.0,19400.0,20600.0,21500.0,21000.0,22100.0,22200.0,22900.0,23400.0,24400.0,24300.0,24500.0,24500.0,25200.0,25600.0,26000.0,26600.0,27800.0,28600.0,29400.0,29900.0,30200.0,29800.0,30700.0,31300.0,31700.0,32800.0,33400.0,34500.0,35700.0,35900.0,36400.0,36600.0,37700.0,38400.0
Benin,,,,,,,,,,,679.0,691.0,657.0,677.0,710.0,735.0,747.0,740.0,753.0,759.0,758.0,731.0,761.0,771.0,779.0,723.0,711.0,728.0,718.0,745.0,775.0,829.0,824.0,766.0,804.0,840.0,833.0,797.0,800.0,754.0,795.0,801.0,797.0,814.0,803.0,824.0,833.0,854.0,862.0,882.0,906.0,926.0,940.0,943.0,956.0,944.0
Burkina Faso,,,,,,,,,,,242.0,248.0,260.0,253.0,255.0,261.0,258.0,276.0,280.0,281.0,276.0,276.0,277.0,273.0,291.0,294.0,313.0,308.0,315.0,320.0,315.0,321.0,343.0,336.0,322.0,340.0,358.0,348.0,359.0,357.0,345.0,367.0,358.0,360.0,355.0,365.0,394.0,408.0,426.0,444.0,440.0,456.0,462.0,484.0,491.0,518.0
Bangladesh,,,,,,,,,,,463.0,478.0,490.0,474.0,511.0,504.0,501.0,476.0,505.0,497.0,512.0,474.0,401.0,409.0,441.0,415.0,428.0,429.0,447.0,456.0,448.0,468.0,465.0,471.0,481.0,484.0,491.0,496.0,495.0,497.0,512.0,518.0,534.0,547.0,556.0,572.0,586.0,599.0,617.0,633.0,654.0,674.0,687.0,708.0,733.0,769.0
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360.0,3510.0,3590.0,3700.0,3820.0,3920.0,4090.0,4330.0,4790.0,4690.0,4340.0,4010.0,3760.0,3740.0,3820.0,3940.0,4170.0,3600.0,3780.0,3480.0,3670.0,3890.0,4210.0,4460.0,4780.0,5160.0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21500.0,19500.0,17500.0,18100.0,18500.0,17100.0,16800.0,17900.0,18500.0,17900.0,18200.0,19700.0,20400.0,22500.0,21900.0,22200.0,22500.0,22600.0,22900.0,23000.0,23200.0,22700.0,22300.0,22300.0,22400.0,22300.0
