Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.0799999999999983,0.060000000000002274,0.04000000000000625,0.01999999999999602,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01999999999999602,0.04000000000000625,0.060000000000002274,0.0799999999999983,0.09999999999999432,0.12000000000000455,0.14000000000000057,0.1599999999999966,0.18000000000000682,0.20000000000000284,0.21999999999999886,0.23999999999999488,0.2600000000000051,0.28000000000000114,0.29999999999999716,0.3400000000000034,0.37999999999999545,0.4200000000000017,0.45999999999999375,0.5,0.5999999999999943,0.7000000000000028,0.7999999999999972,0.9000000000000057,1.0,1.3799999999999955,1.7600000000000051,2.1400000000000006,2.519999999999996,2.9000000000000057,3.799999999999997,4.700000000000003,5.599999999999994,6.5,7.400000000000006,8.239999999999995,9.079999999999998,9.920000000000002,10.760000000000005,11.599999999999994
Albania,9.200000000000003,10.659999999999997,12.120000000000005,13.579999999999998,15.040000000000006,16.5,17.92,19.340000000000003,20.760000000000005,22.180000000000007,23.599999999999994,24.400000000000006,25.200000000000003,26.0,26.799999999999997,27.599999999999994,28.060000000000002,28.519999999999996,28.980000000000004,29.439999999999998,29.900000000000006,30.680000000000007,31.459999999999994,32.239999999999995,33.019999999999996,33.8,34.86,35.92,36.98,38.04,39.1,39.72,40.34,40.96,41.58,42.2,42.5,42.8,43.1,43.4,43.7,45.06,46.42,47.78,49.14,50.5,50.84,51.18,51.52,51.86,52.2,53.84,55.48,57.12,58.76,60.4
Algeria,0.09999999999999432,0.2600000000000051,0.4200000000000017,0.5799999999999983,0.7399999999999949,0.9000000000000057,0.9000000000000057,0.9000000000000057,0.9000000000000057,0.9000000000000057,0.9000000000000057,1.2399999999999949,1.5799999999999983,1.9200000000000017,2.260000000000005,2.5999999999999943,3.3599999999999994,4.1200000000000045,4.8799999999999955,5.640000000000001,6.400000000000006,7.6200000000000045,8.840000000000003,10.060000000000002,11.280000000000001,12.5,13.980000000000004,15.459999999999994,16.939999999999998,18.42,19.900000000000006,21.700000000000003,23.5,25.299999999999997,27.099999999999994,28.900000000000006,31.040000000000006,33.18000000000001,35.31999999999999,37.46,39.6,41.44,43.28,45.12,46.96,48.8,50.62,52.44,54.26,56.08,57.9,59.76,61.62,63.48,65.34,67.2
Angola,0.09999999999999432,0.0799999999999983,0.060000000000002274,0.04000000000000625,0.01999999999999602,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04000000000000625,0.0799999999999983,0.12000000000000455,0.1599999999999966,0.20000000000000284,0.21999999999999886,0.23999999999999488,0.2600000000000051,0.28000000000000114,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.29999999999999716,0.3400000000000034,0.37999999999999545,0.4200000000000017,0.45999999999999375,0.5,0.519999999999996,0.5400000000000063,0.5600000000000023,0.5799999999999983,0.5999999999999943,0.7600000000000051,0.9200000000000017,1.0799999999999983,1.2399999999999949,1.4000000000000057,1.9399999999999977,2.480000000000004,3.019999999999996,3.5600000000000023,4.099999999999994
Antigua and Barbuda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.7,91.4,87.1,82.8,78.5
Argentina,6.200000000000003,6.819999999999993,7.439999999999998,8.060000000000002,8.680000000000007,9.299999999999997,10.14,10.980000000000004,11.819999999999993,12.659999999999997,13.5,14.480000000000004,15.459999999999994,16.439999999999998,17.42,18.400000000000006,19.459999999999994,20.519999999999996,21.58,22.64,23.700000000000003,24.819999999999993,25.939999999999998,27.060000000000002,28.180000000000007,29.299999999999997,30.5,31.700000000000003,32.900000000000006,34.099999999999994,35.3,36.4,37.5,38.6,39.7,40.8,41.9,43.0,44.1,45.2,46.3,47.6,48.9,50.2,51.5,52.8,53.84,54.88,55.92,56.96,58.0,59.36,60.72,62.08,63.44,64.8
Armenia,62.3,64.28,66.25999999999999,68.24,70.22,72.2,73.26,74.32,75.38,76.44,77.5,78.06,78.62,79.18,79.74,80.3,80.68,81.06,81.44,81.82,82.2,82.52,82.84,83.16,83.48,83.8,84.08,84.36,84.64,84.92,85.2,85.42,85.64,85.86,86.08,86.3,86.5,86.7,86.9,87.1,87.3,87.38,87.46000000000001,87.53999999999999,87.62,87.7,87.58,87.46000000000001,87.34,87.22,87.1,87.9,88.7,89.5,90.3,91.1
Aruba,2.0,2.4399999999999977,2.8799999999999955,3.319999999999993,3.760000000000005,4.200000000000003,4.819999999999993,5.439999999999998,6.060000000000002,6.680000000000007,7.299999999999997,8.36,9.420000000000002,10.480000000000004,11.540000000000006,12.599999999999994,13.480000000000004,14.36,15.239999999999995,16.120000000000005,17.0,17.819999999999993,18.64,19.459999999999994,20.28,21.099999999999994,21.599999999999994,22.099999999999994,22.599999999999994,23.099999999999994,23.599999999999994,24.28,24.959999999999994,25.64,26.319999999999993,27.0,28.260000000000005,29.519999999999996,30.78,32.040000000000006,33.3,34.260000000000005,35.22,36.18,37.14,38.1,39.92,41.74,43.56,45.38,47.2,49.24,51.28,53.32,55.36,57.4
Australia,55.1,57.16,59.22,61.28,63.34,65.4,67.08,68.76,70.44,72.12,73.8,75.06,76.32,77.58,78.84,80.1,80.92,81.74,82.56,83.38,84.2,84.78,85.36,85.94,86.52,87.1,87.56,88.02,88.48,88.94,89.4,89.78,90.16,90.53999999999999,90.92,91.3,91.53999999999999,91.78,92.02,92.26,92.5,92.72,92.94,93.16,93.38,93.6,93.72,93.84,93.96,94.08,94.2,94.56,94.92,95.28,95.64,96.0
Austria,34.599999999999994,35.92,37.24,38.56,39.88,41.2,42.38,43.56,44.74,45.92,47.1,48.22,49.34,50.46,51.58,52.7,54.26,55.82,57.38,58.94,60.5,62.24,63.98,65.72,67.46000000000001,69.2,70.28,71.36,72.44,73.52,74.6,74.94,75.28,75.62,75.96000000000001,76.3,76.46000000000001,76.62,76.78,76.94,77.1,77.4,77.7,78.0,78.3,78.6,78.94,79.28,79.62,79.96000000000001,80.3,80.52,80.74,80.96000000000001,81.18,81.4
