Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.0799999999999983,0.060000000000002274,0.04000000000000625,0.01999999999999602,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01999999999999602,0.04000000000000625,0.060000000000002274,0.0799999999999983,0.09999999999999432,0.12000000000000455,0.14000000000000057,0.1599999999999966,0.18000000000000682,0.20000000000000284,0.21999999999999886,0.23999999999999488,0.2600000000000051,0.28000000000000114,0.29999999999999716,0.3400000000000034,0.37999999999999545,0.4200000000000017,0.45999999999999375,0.5,0.5999999999999943,0.7000000000000028,0.7999999999999972,0.9000000000000057,1.0,1.3799999999999955,1.7600000000000051,2.1400000000000006,2.519999999999996,2.9000000000000057,3.799999999999997,4.700000000000003,5.599999999999994,6.5,7.400000000000006,8.239999999999995,9.079999999999998,9.920000000000002,10.760000000000005,11.599999999999994
Albania,39.1,42.26,45.42,48.58,51.74,54.9,58.7,62.5,66.3,70.1,73.9,76.78,79.66,82.53999999999999,85.42,88.3,89.53999999999999,90.78,92.02,93.26,94.5,94.86,95.22,95.58,95.94,96.3,96.4,96.5,96.6,96.7,96.8,96.74,96.68,96.62,96.56,96.5,96.28,96.06,95.84,95.62,95.4,95.18,94.96,94.74,94.52,94.3,94.1,93.9,93.7,93.5,93.3,93.74,94.18,94.62,95.06,95.5
Algeria,4.099999999999994,5.0,5.900000000000006,6.799999999999997,7.700000000000003,8.599999999999994,9.700000000000003,10.799999999999997,11.900000000000006,13.0,14.099999999999994,15.36,16.620000000000005,17.879999999999995,19.14,20.400000000000006,22.340000000000003,24.28,26.22,28.159999999999997,30.099999999999994,32.56,35.019999999999996,37.48,39.94,42.4,44.82,47.24,49.66,52.08,54.5,56.52,58.54,60.56,62.58,64.6,65.92,67.24000000000001,68.56,69.88,71.2,72.34,73.48,74.62,75.76,76.9,77.88,78.86,79.84,80.82,81.8,82.88,83.96000000000001,85.03999999999999,86.12,87.2
Angola,1.2999999999999972,1.2800000000000011,1.2600000000000051,1.2399999999999949,1.2199999999999989,1.2000000000000028,1.2600000000000051,1.3199999999999932,1.3799999999999955,1.4399999999999977,1.5,1.6200000000000045,1.7399999999999949,1.8599999999999994,1.980000000000004,2.0999999999999943,2.280000000000001,2.4599999999999937,2.6400000000000006,2.819999999999993,3.0,3.299999999999997,3.5999999999999943,3.9000000000000057,4.200000000000003,4.5,4.799999999999997,5.099999999999994,5.400000000000006,5.700000000000003,6.0,6.140000000000001,6.280000000000001,6.420000000000002,6.560000000000002,6.700000000000003,6.840000000000003,6.980000000000004,7.1200000000000045,7.260000000000005,7.400000000000006,7.6200000000000045,7.840000000000003,8.060000000000002,8.280000000000001,8.5,9.0,9.5,10.0,10.5,11.0,13.099999999999994,15.200000000000003,17.299999999999997,19.400000000000006,21.5
Antigua and Barbuda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.42,94.84,92.26,89.68,87.1
Argentina,26.400000000000006,27.5,28.599999999999994,29.700000000000003,30.799999999999997,31.900000000000006,33.16,34.42,35.68000000000001,36.94,38.2,39.4,40.6,41.8,43.0,44.2,45.24,46.28,47.32,48.36,49.4,50.26,51.12,51.98,52.84,53.7,54.6,55.5,56.4,57.3,58.2,59.0,59.8,60.6,61.4,62.2,62.86,63.52,64.18,64.84,65.5,66.66,67.82,68.98,70.14,71.3,71.98,72.66,73.34,74.02,74.7,75.48,76.26,77.03999999999999,77.82,78.6
Armenia,88.7,89.96000000000001,91.22,92.48,93.74,95.0,95.56,96.12,96.68,97.24,97.8,98.02,98.24,98.46,98.68,98.9,98.96,99.02,99.08,99.14,99.2,99.22,99.24,99.26,99.28,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.18,99.06,98.94,98.82,98.7,98.78,98.86,98.94,99.02,99.1
Aruba,21.5,24.159999999999997,26.819999999999993,29.480000000000004,32.14,34.8,36.5,38.2,39.9,41.6,43.3,44.96,46.62,48.28,49.94,51.6,53.44,55.28,57.12,58.96,60.8,61.94,63.08,64.22,65.36,66.5,67.4,68.3,69.2,70.1,71.0,71.24,71.48,71.72,71.96000000000001,72.2,72.9,73.6,74.3,75.0,75.7,75.53999999999999,75.38,75.22,75.06,74.9,76.03999999999999,77.18,78.32,79.46000000000001,80.6,81.52,82.44,83.36,84.28,85.2
Australia,77.3,78.66,80.02,81.38,82.74,84.1,85.2,86.3,87.4,88.5,89.6,90.42,91.24,92.06,92.88,93.7,94.16,94.62,95.08,95.54,96.0,96.24,96.48,96.72,96.96,97.2,97.34,97.48,97.62,97.76,97.9,98.0,98.1,98.2,98.3,98.4,98.46,98.52,98.58,98.64,98.7,98.76,98.82,98.88,98.94,99.0,98.92,98.84,98.76,98.68,98.6,98.68,98.76,98.84,98.92,99.0
Austria,56.7,58.82,60.94,63.06,65.18,67.3,69.52,71.74,73.96000000000001,76.18,78.4,79.68,80.96000000000001,82.24,83.52,84.8,85.98,87.16,88.34,89.52,90.7,91.72,92.74,93.76,94.78,95.8,96.22,96.64,97.06,97.48,97.9,97.96,98.02,98.08,98.14,98.2,98.14,98.08,98.02,97.96,97.9,97.86,97.82,97.78,97.74,97.7,97.64,97.58,97.52,97.46,97.4,97.34,97.28,97.22,97.16,97.1
