Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1.5999999999999943,1.7399999999999949,1.8799999999999955,2.019999999999996,2.1599999999999966,2.299999999999997,2.3799999999999955,2.4599999999999937,2.5400000000000063,2.6200000000000045,2.700000000000003,3.0799999999999983,3.4599999999999937,3.8400000000000034,4.219999999999999,4.599999999999994,4.819999999999993,5.040000000000006,5.260000000000005,5.480000000000004,5.700000000000003,5.939999999999998,6.180000000000007,6.420000000000002,6.659999999999997,6.900000000000006,7.159999999999997,7.420000000000002,7.680000000000007,7.939999999999998,8.200000000000003,8.159999999999997,8.120000000000005,8.079999999999998,8.040000000000006,8.0,8.120000000000005,8.239999999999995,8.36,8.480000000000004,8.599999999999994,9.739999999999995,10.879999999999995,12.019999999999996,13.159999999999997,14.299999999999997,16.86,19.42,21.980000000000004,24.540000000000006,27.099999999999994,30.42,33.739999999999995,37.06,40.38,43.7
Albania,87.0,88.26,89.52,90.78,92.04,93.3,93.86,94.42,94.98,95.54,96.1,96.42,96.74,97.06,97.38,97.7,97.8,97.9,98.0,98.1,98.2,98.22,98.24,98.26,98.28,98.3,98.3,98.3,98.3,98.3,98.3,98.24,98.18,98.12,98.06,98.0,97.88,97.76,97.64,97.52,97.4,97.2,97.0,96.8,96.6,96.4,96.26,96.12,95.98,95.84,95.7,96.04,96.38,96.72,97.06,97.4
Algeria,8.099999999999994,9.680000000000007,11.260000000000005,12.840000000000003,14.420000000000002,16.0,17.92,19.840000000000003,21.760000000000005,23.680000000000007,25.599999999999994,27.36,29.120000000000005,30.879999999999995,32.64,34.400000000000006,36.64,38.88,41.12,43.36,45.6,47.86,50.12,52.38,54.64,56.9,58.76,60.62,62.48,64.34,66.2,67.8,69.4,71.0,72.6,74.2,75.5,76.8,78.1,79.4,80.7,81.8,82.9,84.0,85.1,86.2,86.74,87.28,87.82,88.36,88.9,89.52,90.14,90.76,91.38,92.0
Angola,3.200000000000003,3.219999999999999,3.239999999999995,3.260000000000005,3.280000000000001,3.299999999999997,3.4599999999999937,3.6200000000000045,3.780000000000001,3.9399999999999977,4.099999999999994,4.319999999999993,4.540000000000006,4.760000000000005,4.980000000000004,5.200000000000003,5.659999999999997,6.1200000000000045,6.579999999999998,7.040000000000006,7.5,8.400000000000006,9.299999999999997,10.200000000000003,11.099999999999994,12.0,13.280000000000001,14.560000000000002,15.840000000000003,17.120000000000005,18.400000000000006,18.560000000000002,18.72,18.879999999999995,19.040000000000006,19.200000000000003,19.060000000000002,18.92,18.78,18.64,18.5,18.540000000000006,18.58,18.620000000000005,18.659999999999997,18.700000000000003,19.58,20.459999999999994,21.340000000000003,22.22,23.099999999999994,27.819999999999993,32.540000000000006,37.26,41.98,46.7
Antigua and Barbuda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.78,99.56,99.34,99.12,98.9
Argentina,68.9,69.76,70.62,71.48,72.34,73.2,74.06,74.92,75.78,76.64,77.5,78.32,79.14,79.96000000000001,80.78,81.6,82.26,82.92,83.58,84.24,84.9,85.42,85.94,86.46000000000001,86.98,87.5,87.94,88.38,88.82,89.26,89.7,90.06,90.42,90.78,91.14,91.5,91.74,91.98,92.22,92.46,92.7,92.86,93.02,93.18,93.34,93.5,93.56,93.62,93.68,93.74,93.8,94.12,94.44,94.76,95.08,95.4
Armenia,98.2,98.4,98.6,98.8,99.0,99.2,99.28,99.36,99.44,99.52,99.6,99.64,99.68,99.72,99.76,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8
Aruba,54.5,57.0,59.5,62.0,64.5,67.0,67.92,68.84,69.76,70.68,71.6,72.96000000000001,74.32,75.68,77.03999999999999,78.4,79.62,80.84,82.06,83.28,84.5,85.34,86.18,87.02,87.86,88.7,89.03999999999999,89.38,89.72,90.06,90.4,90.84,91.28,91.72,92.16,92.6,92.94,93.28,93.62,93.96,94.3,94.58,94.86,95.14,95.42,95.7,95.9,96.1,96.3,96.5,96.7,97.1,97.5,97.9,98.3,98.7
Australia,97.4,97.6,97.8,98.0,98.2,98.4,98.48,98.56,98.64,98.72,98.8,98.82,98.84,98.86,98.88,98.9,98.94,98.98,99.02,99.06,99.1,99.14,99.18,99.22,99.26,99.3,99.32,99.34,99.36,99.38,99.4,99.44,99.48,99.52,99.56,99.6,99.6,99.6,99.6,99.6,99.6,99.62,99.64,99.66,99.68,99.7,99.72,99.74,99.76,99.78,99.8,99.82,99.84,99.86,99.88,99.9
Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,90.6,91.34,92.08,92.82,93.56,94.3,94.84,95.38,95.92,96.46,97.0,97.3,97.6,97.9,98.2,98.5,98.64,98.78,98.92,99.06,99.2,99.26,99.32,99.38,99.44,99.5,99.54,99.58,99.62,99.66,99.7,99.72,99.74,99.76,99.78,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.82,99.84,99.86,99.88,99.9,99.9,99.9,99.9,99.9,99.9
Bahamas,77.2,78.32,79.44,80.56,81.68,82.8,83.98,85.16,86.34,87.52,88.7,89.53999999999999,90.38,91.22,92.06,92.9,93.48,94.06,94.64,95.22,95.8,96.12,96.44,96.76,97.08,97.4,97.54,97.68,97.82,97.96,98.1,98.2,98.3,98.4,98.5,98.6,98.64,98.68,98.72,98.76,98.8,98.9,99.0,99.1,99.2,99.3,99.38,99.46,99.54,99.62,99.7,99.72,99.74,99.76,99.78,99.8
