Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,92.5,92.12,91.74,91.36,90.98,90.6,90.3,90.0,89.7,89.4,89.1,88.12,87.14,86.16,85.18,84.2,83.84,83.48,83.12,82.76,82.4,82.18,81.96,81.74,81.52,81.3,81.26,81.22,81.18,81.14,81.1,80.86,80.62,80.38,80.14,79.9,79.34,78.78,78.22,77.66,77.1,75.68,74.26,72.84,71.42,70.0,67.4,64.8,62.2,59.6,57.0,54.2,51.4,48.6,45.8,43.0
Albania,9.1,8.24,7.38,6.52,5.66,4.8,4.46,4.12,3.78,3.44,3.1,2.9,2.7,2.5,2.3,2.1,2.06,2.02,1.98,1.94,1.9,1.9,1.9,1.9,1.9,1.9,1.96,2.02,2.08,2.14,2.2,2.26,2.32,2.38,2.44,2.5,2.62,2.74,2.86,2.98,3.1,3.22,3.34,3.46,3.58,3.7,3.76,3.82,3.88,3.94,4.0,3.68,3.36,3.04,2.72,2.4
Algeria,81.7,79.58,77.46,75.34,73.22,71.1,68.9,66.7,64.5,62.3,60.1,58.36,56.62,54.88,53.14,51.4,49.4,47.4,45.4,43.4,41.4,39.3,37.2,35.1,33.0,30.9,29.3,27.7,26.1,24.5,22.9,21.8,20.7,19.6,18.5,17.4,16.78,16.16,15.54,14.92,14.3,13.58,12.86,12.14,11.42,10.7,10.24,9.78,9.32,8.86,8.4,7.92,7.44,6.96,6.48,6.0
Angola,91.0,90.74,90.48,90.22,89.96,89.7,89.06,88.42,87.78,87.14,86.5,85.78,85.06,84.34,83.62,82.9,81.64,80.38,79.12,77.86,76.6,75.34,74.08,72.82,71.56,70.3,69.04,67.78,66.52,65.26,64.0,64.16,64.32,64.48,64.64,64.8,65.14,65.48,65.82,66.16,66.5,66.56,66.62,66.68,66.74,66.8,65.72,64.64,63.56,62.48,61.4,57.34,53.28,49.22,45.16,41.1
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.56,0.84,1.12,1.4
Argentina,31.5,30.72,29.94,29.16,28.38,27.6,26.84,26.08,25.32,24.56,23.8,22.96,22.12,21.28,20.44,19.6,18.86,18.12,17.38,16.64,15.9,15.34,14.78,14.22,13.66,13.1,12.64,12.18,11.72,11.26,10.8,10.48,10.16,9.84,9.52,9.2,8.98,8.76,8.54,8.32,8.1,7.96,7.82,7.68,7.54,7.4,7.4,7.4,7.4,7.4,7.4,7.04,6.68,6.32,5.96,5.6
Armenia,1.4,1.24,1.08,0.92,0.76,0.6,0.54,0.48,0.42,0.36,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.24,0.22,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.24,0.22,0.2
Aruba,39.2,37.6,36.0,34.4,32.8,31.2,30.14,29.08,28.02,26.96,25.9,24.52,23.14,21.76,20.38,19.0,18.26,17.52,16.78,16.04,15.3,14.56,13.82,13.08,12.34,11.6,11.24,10.88,10.52,10.16,9.8,9.58,9.36,9.14,8.92,8.7,8.26,7.82,7.38,6.94,6.5,6.28,6.06,5.84,5.62,5.4,5.16,4.92,4.68,4.44,4.2,3.76,3.32,2.88,2.44,2.0
Australia,2.2,2.04,1.88,1.72,1.56,1.4,1.34,1.28,1.22,1.16,1.1,1.06,1.02,0.98,0.94,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.66,0.62,0.58,0.54,0.5,0.48,0.46,0.44,0.42,0.4,0.4,0.4,0.4,0.4,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,7.1,6.5,5.9,5.3,4.7,4.1,3.7,3.3,2.9,2.5,2.1,1.88,1.66,1.44,1.22,1.0,0.9,0.8,0.7,0.6,0.5,0.46,0.42,0.38,0.34,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0
Bahamas,22.0,20.9,19.8,18.7,17.6,16.5,15.48,14.46,13.44,12.42,11.4,10.7,10.0,9.3,8.6,7.9,7.3,6.7,6.1,5.5,4.9,4.5,4.1,3.7,3.3,2.9,2.74,2.58,2.42,2.26,2.1,2.0,1.9,1.8,1.7,1.6,1.56,1.52,1.48,1.44,1.4,1.3,1.2,1.1,1.0,0.9,0.82,0.74,0.66,0.58,0.5,0.46,0.42,0.38,0.34,0.3
Bahrain,81.3,78.82,76.34,73.86,71.38,68.9,65.76,62.62,59.48,56.34,53.2,52.32,51.44,50.56,49.68,48.8,48.1,47.4,46.7,46.0,45.3,44.72,44.14,43.56,42.98,42.4,41.64,40.88,40.12,39.36,38.6,37.88,37.16,36.44,35.72,35.0,34.32,33.64,32.96,32.28,31.6,31.02,30.44,29.86,29.28,28.7,28.12,27.54,26.96,26.38,25.8,21.2,16.6,12.0,7.4,2.8
