Country,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.8,99.78,99.76,99.74,99.72,99.7,99.68,99.66,99.64,99.62,99.6,99.58,99.56,99.54,99.52,99.5,99.48,99.46,99.44,99.42,99.4,99.38,99.36,99.34,99.32,99.3,99.26,99.22,99.18,99.14,99.1,99.06,99.02,98.98,98.94,98.9,98.84,98.78,98.72,98.66,98.6,98.56,98.52,98.48,98.44,98.4,98.32,98.24,98.16,98.08,98.0,97.92,97.84,97.76,97.68,97.6,97.5,97.4,97.3,97.2,97.1,96.98,96.86,96.74,96.62,96.5,96.36,96.22,96.08,95.94,95.8,95.64,95.48,95.32,95.16,95.0,94.86,94.72,94.58,94.44,94.3,93.94,93.58,93.22,92.86,92.5,92.12,91.74,91.36,90.98,90.6,90.3,90.0,89.7,89.4,89.1,88.12,87.14,86.16,85.18,84.2,83.84,83.48,83.12,82.76,82.4,82.18,81.96,81.74,81.52,81.3,81.26,81.22,81.18,81.14,81.1,80.86,80.62,80.38,80.14,79.9,79.34,78.78,78.22,77.66,77.1,75.68,74.26,72.84,71.42,70.0,67.4,64.8,62.2,59.6,57.0,54.2,51.4,48.6,45.8,43.0
Albania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.84,99.78,99.72,99.66,99.6,99.42,99.24,99.06,98.88,98.7,98.22,97.74,97.26,96.78,96.3,95.32,94.34,93.36,92.38,91.4,89.58,87.76,85.94,84.12,82.3,79.68,77.06,74.44,71.82,69.2,66.0,62.8,59.6,56.4,53.2,49.38,45.56,41.74,37.92,34.1,31.24,28.38,25.52,22.66,19.8,17.66,15.52,13.38,11.24,9.1,8.24,7.38,6.52,5.66,4.8,4.46,4.12,3.78,3.44,3.1,2.9,2.7,2.5,2.3,2.1,2.06,2.02,1.98,1.94,1.9,1.9,1.9,1.9,1.9,1.9,1.96,2.02,2.08,2.14,2.2,2.26,2.32,2.38,2.44,2.5,2.62,2.74,2.86,2.98,3.1,3.22,3.34,3.46,3.58,3.7,3.76,3.82,3.88,3.94,4.0,3.68,3.36,3.04,2.72,2.4
Algeria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.58,99.56,99.54,99.52,99.5,99.4,99.3,99.2,99.1,99.0,98.82,98.64,98.46,98.28,98.1,97.78,97.46,97.14,96.82,96.5,95.88,95.26,94.64,94.02,93.4,92.56,91.72,90.88,90.04,89.2,87.7,86.2,84.7,83.2,81.7,79.58,77.46,75.34,73.22,71.1,68.9,66.7,64.5,62.3,60.1,58.36,56.62,54.88,53.14,51.4,49.4,47.4,45.4,43.4,41.4,39.3,37.2,35.1,33.0,30.9,29.3,27.7,26.1,24.5,22.9,21.8,20.7,19.6,18.5,17.4,16.78,16.16,15.54,14.92,14.3,13.58,12.86,12.14,11.42,10.7,10.24,9.78,9.32,8.86,8.4,7.92,7.44,6.96,6.48,6.0
Angola,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.68,99.66,99.64,99.62,99.6,99.58,99.56,99.54,99.52,99.5,99.5,99.5,99.5,99.5,99.5,99.48,99.46,99.44,99.42,99.4,99.36,99.32,99.28,99.24,99.2,99.16,99.12,99.08,99.04,99.0,98.94,98.88,98.82,98.76,98.7,98.64,98.58,98.52,98.46,98.4,98.3,98.2,98.1,98.0,97.9,97.78,97.66,97.54,97.42,97.3,97.14,96.98,96.82,96.66,96.5,96.34,96.18,96.02,95.86,95.7,95.46,95.22,94.98,94.74,94.5,94.2,93.9,93.6,93.3,93.0,92.6,92.2,91.8,91.4,91.0,90.74,90.48,90.22,89.96,89.7,89.06,88.42,87.78,87.14,86.5,85.78,85.06,84.34,83.62,82.9,81.64,80.38,79.12,77.86,76.6,75.34,74.08,72.82,71.56,70.3,69.04,67.78,66.52,65.26,64.0,64.16,64.32,64.48,64.64,64.8,65.14,65.48,65.82,66.16,66.5,66.56,66.62,66.68,66.74,66.8,65.72,64.64,63.56,62.48,61.4,57.34,53.28,49.22,45.16,41.1
Argentina,87.6,87.14,86.68,86.22,85.76,85.3,84.78,84.26,83.74,83.22,82.7,82.14,81.58,81.02,80.46,79.9,79.3,78.7,78.1,77.5,76.9,76.28,75.66,75.04,74.42,73.8,73.14,72.48,71.82,71.16,70.5,69.82,69.14,68.46,67.78,67.1,66.46,65.82,65.18,64.54,63.9,63.28,62.66,62.04,61.42,60.8,60.2,59.6,59.0,58.4,57.8,57.22,56.64,56.06,55.48,54.9,54.5,54.1,53.7,53.3,52.9,52.18,51.46,50.74,50.02,49.3,48.38,47.46,46.54,45.62,44.7,43.76,42.82,41.88,40.94,40.0,39.18,38.36,37.54,36.72,35.9,35.02,34.14,33.26,32.38,31.5,30.72,29.94,29.16,28.38,27.6,26.84,26.08,25.32,24.56,23.8,22.96,22.12,21.28,20.44,19.6,18.86,18.12,17.38,16.64,15.9,15.34,14.78,14.22,13.66,13.1,12.64,12.18,11.72,11.26,10.8,10.48,10.16,9.84,9.52,9.2,8.98,8.76,8.54,8.32,8.1,7.96,7.82,7.68,7.54,7.4,7.4,7.4,7.4,7.4,7.4,7.04,6.68,6.32,5.96,5.6
Armenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.86,99.82,99.78,99.74,99.7,99.64,99.58,99.52,99.46,99.4,99.22,99.04,98.86,98.68,98.5,98.14,97.78,97.42,97.06,96.7,95.86,95.02,94.18,93.34,92.5,90.82,89.14,87.46,85.78,84.1,81.18,78.26,75.34,72.42,69.5,65.56,61.62,57.68,53.74,49.8,45.9,42.0,38.1,34.2,30.3,27.44,24.58,21.72,18.86,16.0,14.3,12.6,10.9,9.2,7.5,6.66,5.82,4.98,4.14,3.3,2.92,2.54,2.16,1.78,1.4,1.24,1.08,0.92,0.76,0.6,0.54,0.48,0.42,0.36,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.24,0.22,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.24,0.22,0.2
Aruba,96.2,96.08,95.96,95.84,95.72,95.6,95.44,95.28,95.12,94.96,94.8,94.72,94.64,94.56,94.48,94.4,94.18,93.96,93.74,93.52,93.3,93.1,92.9,92.7,92.5,92.3,91.94,91.58,91.22,90.86,90.5,90.16,89.82,89.48,89.14,88.8,88.44,88.08,87.72,87.36,87.0,86.48,85.96,85.44,84.92,84.4,83.76,83.12,82.48,81.84,81.2,80.36,79.52,78.68,77.84,77.0,75.96,74.92,73.88,72.84,71.8,70.7,69.6,68.5,67.4,66.3,65.04,63.78,62.52,61.26,60.0,58.8,57.6,56.4,55.2,54.0,52.64,51.28,49.92,48.56,47.2,45.6,44.0,42.4,40.8,39.2,37.6,36.0,34.4,32.8,31.2,30.14,29.08,28.02,26.96,25.9,24.52,23.14,21.76,20.38,19.0,18.26,17.52,16.78,16.04,15.3,14.56,13.82,13.08,12.34,11.6,11.24,10.88,10.52,10.16,9.8,9.58,9.36,9.14,8.92,8.7,8.26,7.82,7.38,6.94,6.5,6.28,6.06,5.84,5.62,5.4,5.16,4.92,4.68,4.44,4.2,3.76,3.32,2.88,2.44,2.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.56,0.62,0.68,0.74,0.8,0.86,0.92,0.98,1.04,1.1,1.22,1.34,1.46,1.58,1.7,1.8,1.9,2.0,2.1,2.2,2.38,2.56,2.74,2.92,3.1,3.2,3.3,3.4,3.5,3.6,3.54,3.48,3.42,3.36,3.3,3.08,2.86,2.64,2.42,2.2,2.04,1.88,1.72,1.56,1.4,1.34,1.28,1.22,1.16,1.1,1.06,1.02,0.98,0.94,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.66,0.62,0.58,0.54,0.5,0.48,0.46,0.44,0.42,0.4,0.4,0.4,0.4,0.4,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.6,99.5,99.4,99.3,99.2,98.98,98.76,98.54,98.32,98.1,97.72,97.34,96.96,96.58,96.2,95.44,94.68,93.92,93.16,92.4,91.06,89.72,88.38,87.04,85.7,83.7,81.7,79.7,77.7,75.7,73.18,70.66,68.14,65.62,63.1,60.4,57.7,55.0,52.3,49.6,47.02,44.44,41.86,39.28,36.7,34.48,32.26,30.04,27.82,25.6,23.82,22.04,20.26,18.48,16.7,15.44,14.18,12.92,11.66,10.4,9.74,9.08,8.42,7.76,7.1,6.5,5.9,5.3,4.7,4.1,3.7,3.3,2.9,2.5,2.1,1.88,1.66,1.44,1.22,1.0,0.9,0.8,0.7,0.6,0.5,0.46,0.42,0.38,0.34,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0
