Country,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.44,99.38,99.32,99.26,99.2,99.36,99.52,99.68,99.84,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.5,99.4,99.3,99.2,99.1,98.96,98.82,98.68,98.54,98.4,98.26,98.12,97.98,97.84,97.7,97.58,97.46,97.34,97.22,97.1,96.94,96.78,96.62,96.46,96.3,96.02,95.74,95.46,95.18,94.9,94.32,93.74,93.16,92.58,92.0,90.94,89.88,88.82,87.76,86.7,85.68,84.66,83.64,82.62,81.6
Albania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.84,99.78,99.72,99.66,99.6,99.46,99.32,99.18,99.04,98.9,98.58,98.26,97.94,97.62,97.3,96.74,96.18,95.62,95.06,94.5,93.5,92.5,91.5,90.5,89.5,89.82,90.14,90.46,90.78,91.1,89.98,88.86,87.74,86.62,85.5,84.0,82.5,81.0,79.5,78.0,76.7,75.4,74.1,72.8,71.5,70.86,70.22,69.58,68.94,68.3,67.86,67.42,66.98,66.54,66.1,65.38,64.66,63.94,63.22,62.5,61.64,60.78,59.92,59.06,58.2,57.72,57.24,56.76,56.28,55.8,55.66,55.52,55.38,55.24,55.1,53.82,52.54,51.26,49.98,48.7,48.66,48.62,48.58,48.54,48.5,47.04,45.58,44.12,42.66,41.2
Algeria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.86,99.82,99.78,99.74,99.7,99.56,99.42,99.28,99.14,99.0,99.2,99.4,99.6,99.8,100.0,99.94,99.88,99.82,99.76,99.7,99.5,99.3,99.1,98.9,98.7,98.48,98.26,98.04,97.82,97.6,97.02,96.44,95.86,95.28,94.7,93.76,92.82,91.88,90.94,90.0,88.74,87.48,86.22,84.96,83.7,82.44,81.18,79.92,78.66,77.4,76.12,74.84,73.56,72.28,71.0,69.6,68.2,66.8,65.4,64.0,62.1,60.2,58.3,56.4,54.5,52.6,50.7,48.8,46.9,45.0,43.12,41.24,39.36,37.48,35.6
Angola,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.82,99.84,99.86,99.88,99.9,99.88,99.86,99.84,99.82,99.8,99.8,99.8,99.8,99.8,99.8,99.78,99.76,99.74,99.72,99.7,99.7,99.7,99.7,99.7,99.7,99.66,99.62,99.58,99.54,99.5,99.58,99.66,99.74,99.82,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.78,99.76,99.74,99.72,99.7,99.64,99.58,99.52,99.46,99.4,99.34,99.28,99.22,99.16,99.1,99.04,98.98,98.92,98.86,98.8,98.72,98.64,98.56,98.48,98.4,98.36,98.32,98.28,98.24,98.2,97.94,97.68,97.42,97.16,96.9,96.3,95.7,95.1,94.5,93.9
Argentina,98.5,98.44,98.38,98.32,98.26,98.2,98.08,97.96,97.84,97.72,97.6,97.5,97.4,97.3,97.2,97.1,96.98,96.86,96.74,96.62,96.5,96.36,96.22,96.08,95.94,95.8,95.64,95.48,95.32,95.16,95.0,94.82,94.64,94.46,94.28,94.1,93.96,93.82,93.68,93.54,93.4,93.24,93.08,92.92,92.76,92.6,92.42,92.24,92.06,91.88,91.7,91.54,91.38,91.22,91.06,90.9,90.86,90.82,90.78,90.74,90.7,90.4,90.1,89.8,89.5,89.2,88.68,88.16,87.64,87.12,86.6,86.02,85.44,84.86,84.28,83.7,86.04,88.38,90.72,93.06,95.4,95.02,94.64,94.26,93.88,93.5,92.94,92.38,91.82,91.26,90.7,89.96,89.22,88.48,87.74,87.0,86.16,85.32,84.48,83.64,82.8,81.86,80.92,79.98,79.04,78.1,77.12,76.14,75.16,74.18,73.2,72.06,70.92,69.78,68.64,67.5,66.48,65.46,64.44,63.42,62.4,61.42,60.44,59.46,58.48,57.5,56.3,55.1,53.9,52.7,51.5,50.6,49.7,48.8,47.9,47.0,45.54,44.08,42.62,41.16,39.7
Armenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.66,99.52,99.38,99.24,99.1,98.52,97.94,97.36,96.78,96.2,94.62,93.04,91.46,89.88,88.3,85.3,82.3,79.3,76.3,73.3,69.28,65.26,61.24,57.22,53.2,52.64,52.08,51.52,50.96,50.4,47.84,45.28,42.72,40.16,37.6,35.78,33.96,32.14,30.32,28.5,27.6,26.7,25.8,24.9,24.0,23.46,22.92,22.38,21.84,21.3,20.86,20.42,19.98,19.54,19.1,18.76,18.42,18.08,17.74,17.4,17.1,16.8,16.5,16.2,15.9,15.7,15.5,15.3,15.1,14.9,14.74,14.58,14.42,14.26,14.1,14.06,14.02,13.98,13.94,13.9,14.1,14.3,14.5,14.7,14.9,13.98,13.06,12.14,11.22,10.3
Aruba,100.0,100.0,100.0,100.0,100.0,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.76,99.72,99.68,99.64,99.6,99.56,99.52,99.48,99.44,99.4,99.28,99.16,99.04,98.92,98.8,98.68,98.56,98.44,98.32,98.2,98.04,97.88,97.72,97.56,97.4,97.2,97.0,96.8,96.6,96.4,95.56,94.72,93.88,93.04,92.2,93.46,94.72,95.98,97.24,98.5,98.22,97.94,97.66,97.38,97.1,96.72,96.34,95.96,95.58,95.2,94.64,94.08,93.52,92.96,92.4,91.58,90.76,89.94,89.12,88.3,87.62,86.94,86.26,85.58,84.9,84.1,83.3,82.5,81.7,80.9,80.44,79.98,79.52,79.06,78.6,78.06,77.52,76.98,76.44,75.9,75.0,74.1,73.2,72.3,71.4,70.58,69.76,68.94,68.12,67.3,66.04,64.78,63.52,62.26,61.0,58.82,56.64,54.46,52.28,50.1
Australia,99.4,99.36,99.32,99.28,99.24,99.2,99.16,99.12,99.08,99.04,99.0,98.9,98.8,98.7,98.6,98.5,98.34,98.18,98.02,97.86,97.7,97.46,97.22,96.98,96.74,96.5,96.16,95.82,95.48,95.14,94.8,94.36,93.92,93.48,93.04,92.6,92.02,91.44,90.86,90.28,89.7,88.92,88.14,87.36,86.58,85.8,84.86,83.92,82.98,82.04,81.1,80.1,79.1,78.1,77.1,76.1,74.92,73.74,72.56,71.38,70.2,68.7,67.2,65.7,64.2,62.7,61.02,59.34,57.66,55.98,54.3,52.56,50.82,49.08,47.34,45.6,46.54,47.48,48.42,49.36,50.3,48.46,46.62,44.78,42.94,41.1,39.3,37.5,35.7,33.9,32.1,30.62,29.14,27.66,26.18,24.7,23.58,22.46,21.34,20.22,19.1,18.38,17.66,16.94,16.22,15.5,14.98,14.46,13.94,13.42,12.9,12.44,11.98,11.52,11.06,10.6,10.3,10.0,9.7,9.4,9.1,8.86,8.62,8.38,8.14,7.9,7.7,7.5,7.3,7.1,6.9,6.78,6.66,6.54,6.42,6.3,5.94,5.58,5.22,4.86,4.5
Austria,94.1,93.82,93.54,93.26,92.98,92.7,92.26,91.82,91.38,90.94,90.5,90.06,89.62,89.18,88.74,88.3,87.9,87.5,87.1,86.7,86.3,85.84,85.38,84.92,84.46,84.0,83.5,83.0,82.5,82.0,81.5,81.0,80.5,80.0,79.5,79.0,78.44,77.88,77.32,76.76,76.2,75.54,74.88,74.22,73.56,72.9,72.24,71.58,70.92,70.26,69.6,68.96,68.32,67.68,67.04,66.4,66.2,66.0,65.8,65.6,65.4,65.06,64.72,64.38,64.04,63.7,63.14,62.58,62.02,61.46,60.9,60.16,59.42,58.68,57.94,57.2,57.58,57.96,58.34,58.72,59.1,58.34,57.58,56.82,56.06,55.3,54.14,52.98,51.82,50.66,49.5,48.28,47.06,45.84,44.62,43.4,42.36,41.32,40.28,39.24,38.2,36.92,35.64,34.36,33.08,31.8,30.64,29.48,28.32,27.16,26.0,25.42,24.84,24.26,23.68,23.1,22.96,22.82,22.68,22.54,22.4,22.34,22.28,22.22,22.16,22.1,21.92,21.74,21.56,21.38,21.2,20.98,20.76,20.54,20.32,20.1,20.08,20.06,20.04,20.02,20.0
Azerbaijan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.96,99.92,99.88,99.84,99.8,99.82,99.84,99.86,99.88,99.9,99.86,99.82,99.78,99.74,99.7,99.58,99.46,99.34,99.22,99.1,98.84,98.58,98.32,98.06,97.8,97.28,96.76,96.24,95.72,95.2,94.3,93.4,92.5,91.6,90.7,89.24,87.78,86.32,84.86,83.4,81.46,79.52,77.58,75.64,73.7,71.38,69.06,66.74,64.42,62.1,62.24,62.38,62.52,62.66,62.8,60.66,58.52,56.38,54.24,52.1,49.8,47.5,45.2,42.9,40.6,38.84,37.08,35.32,33.56,31.8,30.7,29.6,28.5,27.4,26.3,25.54,24.78,24.02,23.26,22.5,21.86,21.22,20.58,19.94,19.3,18.72,18.14,17.56,16.98,16.4,15.96,15.52,15.08,14.64,14.2,13.84,13.48,13.12,12.76,12.4,12.2,12.0,11.8,11.6,11.4,11.36,11.32,11.28,11.24,11.2,10.64,10.08,9.52,8.96,8.4
