Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.5,99.4,99.3,99.2,99.1,98.96,98.82,98.68,98.54,98.4,98.26,98.12,97.98,97.84,97.7,97.58,97.46,97.34,97.22,97.1,96.94,96.78,96.62,96.46,96.3,96.02,95.74,95.46,95.18,94.9,94.32,93.74,93.16,92.58,92.0,90.94,89.88,88.82,87.76,86.7,85.68,84.66,83.64,82.62,81.6
Albania,49.7,46.78,43.86,40.94,38.02,35.1,31.96,28.82,25.68,22.54,19.4,17.36,15.32,13.28,11.24,9.2,8.36,7.52,6.68,5.84,5.0,4.76,4.52,4.28,4.04,3.8,3.8,3.8,3.8,3.8,3.8,3.9,4.0,4.1,4.2,4.3,4.52,4.74,4.96,5.18,5.4,5.52,5.64,5.76,5.88,6.0,6.12,6.24,6.36,6.48,6.6,6.18,5.76,5.34,4.92,4.5
Algeria,89.9,88.42,86.94,85.46,83.98,82.5,80.98,79.46,77.94,76.42,74.9,73.6,72.3,71.0,69.7,68.4,66.7,65.0,63.3,61.6,59.9,57.52,55.14,52.76,50.38,48.0,45.5,43.0,40.5,38.0,35.5,33.84,32.18,30.52,28.86,27.2,26.58,25.96,25.34,24.72,24.1,23.18,22.26,21.34,20.42,19.5,18.64,17.78,16.92,16.06,15.2,14.34,13.48,12.62,11.76,10.9
Angola,97.9,97.84,97.78,97.72,97.66,97.6,97.38,97.16,96.94,96.72,96.5,96.16,95.82,95.48,95.14,94.8,94.34,93.88,93.42,92.96,92.5,92.04,91.58,91.12,90.66,90.2,89.78,89.36,88.94,88.52,88.1,88.0,87.9,87.8,87.7,87.6,87.54,87.48,87.42,87.36,87.3,87.08,86.86,86.64,86.42,86.2,85.48,84.76,84.04,83.32,82.6,80.24,77.88,75.52,73.16,70.8
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,6.92,10.38,13.84,17.3
Argentina,73.5,72.58,71.66,70.74,69.82,68.9,67.88,66.86,65.84,64.82,63.8,62.74,61.68,60.62,59.56,58.5,57.48,56.46,55.44,54.42,53.4,52.6,51.8,51.0,50.2,49.4,48.48,47.56,46.64,45.72,44.8,44.06,43.32,42.58,41.84,41.1,40.54,39.98,39.42,38.86,38.3,37.14,35.98,34.82,33.66,32.5,31.88,31.26,30.64,30.02,29.4,28.5,27.6,26.7,25.8,24.9
Armenia,9.9,8.76,7.62,6.48,5.34,4.2,3.74,3.28,2.82,2.36,1.9,1.74,1.58,1.42,1.26,1.1,1.06,1.02,0.98,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.94,0.96,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.12,1.24,1.36,1.48,1.6,1.48,1.36,1.24,1.12,1.0
Aruba,68.4,66.84,65.28,63.72,62.16,60.6,58.9,57.2,55.5,53.8,52.1,50.46,48.82,47.18,45.54,43.9,42.66,41.42,40.18,38.94,37.7,36.66,35.62,34.58,33.54,32.5,31.96,31.42,30.88,30.34,29.8,29.72,29.64,29.56,29.48,29.4,28.82,28.24,27.66,27.08,26.5,26.6,26.7,26.8,26.9,27.0,26.3,25.6,24.9,24.2,23.5,22.42,21.34,20.26,19.18,18.1
Australia,20.6,19.4,18.2,17.0,15.8,14.6,13.62,12.64,11.66,10.68,9.7,8.94,8.18,7.42,6.66,5.9,5.52,5.14,4.76,4.38,4.0,3.78,3.56,3.34,3.12,2.9,2.74,2.58,2.42,2.26,2.1,2.02,1.94,1.86,1.78,1.7,1.64,1.58,1.52,1.46,1.4,1.34,1.28,1.22,1.16,1.1,1.2,1.3,1.4,1.5,1.6,1.52,1.44,1.36,1.28,1.2
Austria,34.0,32.2,30.4,28.6,26.8,25.0,23.14,21.28,19.42,17.56,15.7,14.68,13.66,12.64,11.62,10.6,9.74,8.88,8.02,7.16,6.3,5.64,4.98,4.32,3.66,3.0,2.72,2.44,2.16,1.88,1.6,1.56,1.52,1.48,1.44,1.4,1.46,1.52,1.58,1.64,1.7,1.78,1.86,1.94,2.02,2.1,2.16,2.22,2.28,2.34,2.4,2.48,2.56,2.64,2.72,2.8
Azerbaijan,23.8,21.96,20.12,18.28,16.44,14.6,13.18,11.76,10.34,8.92,7.5,6.72,5.94,5.16,4.38,3.6,3.24,2.88,2.52,2.16,1.8,1.64,1.48,1.32,1.16,1.0,0.94,0.88,0.82,0.76,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.64,0.58,0.52,0.46,0.4
Bahamas,46.7,44.74,42.78,40.82,38.86,36.9,34.86,32.82,30.78,28.74,26.7,24.72,22.74,20.76,18.78,16.8,15.36,13.92,12.48,11.04,9.6,8.84,8.08,7.32,6.56,5.8,5.56,5.32,5.08,4.84,4.6,4.48,4.36,4.24,4.12,4.0,3.88,3.76,3.64,3.52,3.4,3.16,2.92,2.68,2.44,2.2,1.96,1.72,1.48,1.24,1.0,0.94,0.88,0.82,0.76,0.7
Bahrain,86.2,84.26,82.32,80.38,78.44,76.5,74.54,72.58,70.62,68.66,66.7,65.88,65.06,64.24,63.42,62.6,61.88,61.16,60.44,59.72,59.0,58.26,57.52,56.78,56.04,55.3,54.42,53.54,52.66,51.78,50.9,50.0,49.1,48.2,47.3,46.4,45.54,44.68,43.82,42.96,42.1,41.42,40.74,40.06,39.38,38.7,37.88,37.06,36.24,35.42,34.6,32.2,29.8,27.4,25.0,22.6
