Country,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.44,99.38,99.32,99.26,99.2,99.36,99.52,99.68,99.84,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.5,99.4,99.3,99.2,99.1,98.96,98.82,98.68,98.54,98.4,98.26,98.12,97.98,97.84,97.7,97.58,97.46,97.34,97.22,97.1,96.94,96.78,96.62,96.46,96.3,96.02,95.74,95.46,95.18,94.9,94.32,93.74,93.16,92.58,92.0,90.94,89.88,88.82,87.76,86.7,85.68,84.66,83.64,82.62,81.6
Albania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.68,99.56,99.44,99.32,99.2,98.88,98.56,98.24,97.92,97.6,96.9,96.2,95.5,94.8,94.1,92.82,91.54,90.26,88.98,87.7,85.46,83.22,80.98,78.74,76.5,73.64,70.78,67.92,65.06,62.2,59.7,57.2,54.7,52.2,49.7,46.78,43.86,40.94,38.02,35.1,31.96,28.82,25.68,22.54,19.4,17.36,15.32,13.28,11.24,9.2,8.36,7.52,6.68,5.84,5.0,4.76,4.52,4.28,4.04,3.8,3.8,3.8,3.8,3.8,3.8,3.9,4.0,4.1,4.2,4.3,4.52,4.74,4.96,5.18,5.4,5.52,5.64,5.76,5.88,6.0,6.12,6.24,6.36,6.48,6.6,6.18,5.76,5.34,4.92,4.5
Algeria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.82,99.84,99.86,99.88,99.9,99.86,99.82,99.78,99.74,99.7,99.62,99.54,99.46,99.38,99.3,99.16,99.02,98.88,98.74,98.6,98.28,97.96,97.64,97.32,97.0,96.52,96.04,95.56,95.08,94.6,93.66,92.72,91.78,90.84,89.9,88.42,86.94,85.46,83.98,82.5,80.98,79.46,77.94,76.42,74.9,73.6,72.3,71.0,69.7,68.4,66.7,65.0,63.3,61.6,59.9,57.52,55.14,52.76,50.38,48.0,45.5,43.0,40.5,38.0,35.5,33.84,32.18,30.52,28.86,27.2,26.58,25.96,25.34,24.72,24.1,23.18,22.26,21.34,20.42,19.5,18.64,17.78,16.92,16.06,15.2,14.34,13.48,12.62,11.76,10.9
Angola,99.8,99.8,99.8,99.8,99.8,99.8,99.82,99.84,99.86,99.88,99.9,99.88,99.86,99.84,99.82,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.78,99.76,99.74,99.72,99.7,99.68,99.66,99.64,99.62,99.6,99.6,99.6,99.6,99.6,99.6,99.58,99.56,99.54,99.52,99.5,99.48,99.46,99.44,99.42,99.4,99.36,99.32,99.28,99.24,99.2,99.18,99.16,99.14,99.12,99.1,99.04,98.98,98.92,98.86,98.8,98.72,98.64,98.56,98.48,98.4,98.3,98.2,98.1,98.0,97.9,97.84,97.78,97.72,97.66,97.6,97.38,97.16,96.94,96.72,96.5,96.16,95.82,95.48,95.14,94.8,94.34,93.88,93.42,92.96,92.5,92.04,91.58,91.12,90.66,90.2,89.78,89.36,88.94,88.52,88.1,88.0,87.9,87.8,87.7,87.6,87.54,87.48,87.42,87.36,87.3,87.08,86.86,86.64,86.42,86.2,85.48,84.76,84.04,83.32,82.6,80.24,77.88,75.52,73.16,70.8
Argentina,96.7,96.58,96.46,96.34,96.22,96.1,95.94,95.78,95.62,95.46,95.3,95.14,94.98,94.82,94.66,94.5,94.32,94.14,93.96,93.78,93.6,93.42,93.24,93.06,92.88,92.7,92.5,92.3,92.1,91.9,91.7,91.48,91.26,91.04,90.82,90.6,90.44,90.28,90.12,89.96,89.8,89.64,89.48,89.32,89.16,89.0,88.84,88.68,88.52,88.36,88.2,88.08,87.96,87.84,87.72,87.6,87.54,87.48,87.42,87.36,87.3,87.08,86.86,86.64,86.42,86.2,85.78,85.36,84.94,84.52,84.1,83.54,82.98,82.42,81.86,81.3,80.6,79.9,79.2,78.5,77.8,76.94,76.08,75.22,74.36,73.5,72.58,71.66,70.74,69.82,68.9,67.88,66.86,65.84,64.82,63.8,62.74,61.68,60.62,59.56,58.5,57.48,56.46,55.44,54.42,53.4,52.6,51.8,51.0,50.2,49.4,48.48,47.56,46.64,45.72,44.8,44.06,43.32,42.58,41.84,41.1,40.54,39.98,39.42,38.86,38.3,37.14,35.98,34.82,33.66,32.5,31.88,31.26,30.64,30.02,29.4,28.5,27.6,26.7,25.8,24.9
Armenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.72,99.64,99.56,99.48,99.4,99.06,98.72,98.38,98.04,97.7,96.62,95.54,94.46,93.38,92.3,89.82,87.34,84.86,82.38,79.9,75.94,71.98,68.02,64.06,60.1,55.58,51.06,46.54,42.02,37.5,33.9,30.3,26.7,23.1,19.5,17.58,15.66,13.74,11.82,9.9,8.76,7.62,6.48,5.34,4.2,3.74,3.28,2.82,2.36,1.9,1.74,1.58,1.42,1.26,1.1,1.06,1.02,0.98,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.94,0.96,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.12,1.24,1.36,1.48,1.6,1.48,1.36,1.24,1.12,1.0
Aruba,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.46,99.42,99.38,99.34,99.3,99.26,99.22,99.18,99.14,99.1,98.98,98.86,98.74,98.62,98.5,98.34,98.18,98.02,97.86,97.7,97.4,97.1,96.8,96.5,96.2,95.82,95.44,95.06,94.68,94.3,93.78,93.26,92.74,92.22,91.7,91.0,90.3,89.6,88.9,88.2,86.88,85.56,84.24,82.92,81.6,80.82,80.04,79.26,78.48,77.7,75.84,73.98,72.12,70.26,68.4,66.84,65.28,63.72,62.16,60.6,58.9,57.2,55.5,53.8,52.1,50.46,48.82,47.18,45.54,43.9,42.66,41.42,40.18,38.94,37.7,36.66,35.62,34.58,33.54,32.5,31.96,31.42,30.88,30.34,29.8,29.72,29.64,29.56,29.48,29.4,28.82,28.24,27.66,27.08,26.5,26.6,26.7,26.8,26.9,27.0,26.3,25.6,24.9,24.2,23.5,22.42,21.34,20.26,19.18,18.1
Australia,98.7,98.62,98.54,98.46,98.38,98.3,98.18,98.06,97.94,97.82,97.7,97.52,97.34,97.16,96.98,96.8,96.54,96.28,96.02,95.76,95.5,95.12,94.74,94.36,93.98,93.6,93.1,92.6,92.1,91.6,91.1,90.48,89.86,89.24,88.62,88.0,87.22,86.44,85.66,84.88,84.1,83.1,82.1,81.1,80.1,79.1,77.96,76.82,75.68,74.54,73.4,72.2,71.0,69.8,68.6,67.4,66.04,64.68,63.32,61.96,60.6,58.96,57.32,55.68,54.04,52.4,50.66,48.92,47.18,45.44,43.7,41.98,40.26,38.54,36.82,35.1,33.48,31.86,30.24,28.62,27.0,25.72,24.44,23.16,21.88,20.6,19.4,18.2,17.0,15.8,14.6,13.62,12.64,11.66,10.68,9.7,8.94,8.18,7.42,6.66,5.9,5.52,5.14,4.76,4.38,4.0,3.78,3.56,3.34,3.12,2.9,2.74,2.58,2.42,2.26,2.1,2.02,1.94,1.86,1.78,1.7,1.64,1.58,1.52,1.46,1.4,1.34,1.28,1.22,1.16,1.1,1.2,1.3,1.4,1.5,1.6,1.52,1.44,1.36,1.28,1.2
Austria,91.8,91.4,91.0,90.6,90.2,89.8,89.22,88.64,88.06,87.48,86.9,86.32,85.74,85.16,84.58,84.0,83.46,82.92,82.38,81.84,81.3,80.68,80.06,79.44,78.82,78.2,77.54,76.88,76.22,75.56,74.9,74.2,73.5,72.8,72.1,71.4,70.64,69.88,69.12,68.36,67.6,66.66,65.72,64.78,63.84,62.9,62.02,61.14,60.26,59.38,58.5,57.68,56.86,56.04,55.22,54.4,53.94,53.48,53.02,52.56,52.1,51.3,50.5,49.7,48.9,48.1,47.2,46.3,45.4,44.5,43.6,42.96,42.32,41.68,41.04,40.4,40.0,39.6,39.2,38.8,38.4,37.52,36.64,35.76,34.88,34.0,32.2,30.4,28.6,26.8,25.0,23.14,21.28,19.42,17.56,15.7,14.68,13.66,12.64,11.62,10.6,9.74,8.88,8.02,7.16,6.3,5.64,4.98,4.32,3.66,3.0,2.72,2.44,2.16,1.88,1.6,1.56,1.52,1.48,1.44,1.4,1.46,1.52,1.58,1.64,1.7,1.78,1.86,1.94,2.02,2.1,2.16,2.22,2.28,2.34,2.4,2.48,2.56,2.64,2.72,2.8
Azerbaijan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.96,99.92,99.88,99.84,99.8,99.8,99.8,99.8,99.8,99.8,99.72,99.64,99.56,99.48,99.4,99.18,98.96,98.74,98.52,98.3,97.82,97.34,96.86,96.38,95.9,94.98,94.06,93.14,92.22,91.3,89.82,88.34,86.86,85.38,83.9,81.74,79.58,77.42,75.26,73.1,70.42,67.74,65.06,62.38,59.7,56.76,53.82,50.88,47.94,45.0,42.26,39.52,36.78,34.04,31.3,29.8,28.3,26.8,25.3,23.8,21.96,20.12,18.28,16.44,14.6,13.18,11.76,10.34,8.92,7.5,6.72,5.94,5.16,4.38,3.6,3.24,2.88,2.52,2.16,1.8,1.64,1.48,1.32,1.16,1.0,0.94,0.88,0.82,0.76,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.64,0.58,0.52,0.46,0.4
Bahamas,94.9,94.48,94.06,93.64,93.22,92.8,92.18,91.56,90.94,90.32,89.7,89.0,88.3,87.6,86.9,86.2,85.34,84.48,83.62,82.76,81.9,80.96,80.02,79.08,78.14,77.2,76.28,75.36,74.44,73.52,72.6,71.76,70.92,70.08,69.24,68.4,67.66,66.92,66.18,65.44,64.7,64.16,63.62,63.08,62.54,62.0,61.56,61.12,60.68,60.24,59.8,59.7,59.6,59.5,59.4,59.3,58.86,58.42,57.98,57.54,57.1,57.32,57.54,57.76,57.98,58.2,58.58,58.96,59.34,59.72,60.1,59.98,59.86,59.74,59.62,59.5,58.42,57.34,56.26,55.18,54.1,52.62,51.14,49.66,48.18,46.7,44.74,42.78,40.82,38.86,36.9,34.86,32.82,30.78,28.74,26.7,24.72,22.74,20.76,18.78,16.8,15.36,13.92,12.48,11.04,9.6,8.84,8.08,7.32,6.56,5.8,5.56,5.32,5.08,4.84,4.6,4.48,4.36,4.24,4.12,4.0,3.88,3.76,3.64,3.52,3.4,3.16,2.92,2.68,2.44,2.2,1.96,1.72,1.48,1.24,1.0,0.94,0.88,0.82,0.76,0.7
