Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.76,99.72,99.68,99.64,99.6,99.58,99.56,99.54,99.52,99.5,99.52,99.54,99.56,99.58,99.6,99.56,99.52,99.48,99.44,99.4,99.32,99.24,99.16,99.08,99.0,98.94,98.88,98.82,98.76,98.7,98.62,98.54,98.46,98.38,98.3,98.28,98.26,98.24,98.22,98.2,97.96,97.72,97.48,97.24,97.0
Albania,98.1,97.78,97.46,97.14,96.82,96.5,96.16,95.82,95.48,95.14,94.8,94.46,94.12,93.78,93.44,93.1,92.72,92.34,91.96,91.58,91.2,90.9,90.6,90.3,90.0,89.7,89.28,88.86,88.44,88.02,87.6,87.24,86.88,86.52,86.16,85.8,85.02,84.24,83.46,82.68,81.9,81.62,81.34,81.06,80.78,80.5,81.02,81.54,82.06,82.58,83.1,82.92,82.74,82.56,82.38,82.2
Algeria,100.0,99.92,99.84,99.76,99.68,99.6,99.52,99.44,99.36,99.28,99.2,99.02,98.84,98.66,98.48,98.3,98.0,97.7,97.4,97.1,96.8,96.28,95.76,95.24,94.72,94.2,93.68,93.16,92.64,92.12,91.6,91.08,90.56,90.04,89.52,89.0,89.16,89.32,89.48,89.64,89.8,89.34,88.88,88.42,87.96,87.5,87.06,86.62,86.18,85.74,85.3,84.86,84.42,83.98,83.54,83.1
Angola,100.0,100.0,100.0,100.0,100.0,100.0,100.02,100.04,100.06,100.08,100.1,100.06,100.02,99.98,99.94,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.84,99.88,99.92,99.96,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,31.8,47.7,63.6,79.5
Argentina,98.7,98.5,98.3,98.1,97.9,97.7,97.46,97.22,96.98,96.74,96.5,96.24,95.98,95.72,95.46,95.2,94.8,94.4,94.0,93.6,93.2,92.7,92.2,91.7,91.2,90.7,90.1,89.5,88.9,88.3,87.7,87.16,86.62,86.08,85.54,85.0,84.42,83.84,83.26,82.68,82.1,81.88,81.66,81.44,81.22,81.0,80.86,80.72,80.58,80.44,80.3,80.16,80.02,79.88,79.74,79.6
Armenia,92.6,92.02,91.44,90.86,90.28,89.7,89.26,88.82,88.38,87.94,87.5,86.9,86.3,85.7,85.1,84.5,83.7,82.9,82.1,81.3,80.5,79.84,79.18,78.52,77.86,77.2,76.74,76.28,75.82,75.36,74.9,74.5,74.1,73.7,73.3,72.9,73.5,74.1,74.7,75.3,75.9,76.56,77.22,77.88,78.54,79.2,79.2,79.2,79.2,79.2,79.2,78.62,78.04,77.46,76.88,76.3
Aruba,98.1,97.88,97.66,97.44,97.22,97.0,96.84,96.68,96.52,96.36,96.2,95.92,95.64,95.36,95.08,94.8,94.72,94.64,94.56,94.48,94.4,94.3,94.2,94.1,94.0,93.9,93.82,93.74,93.66,93.58,93.5,93.4,93.3,93.2,93.1,93.0,92.98,92.96,92.94,92.92,92.9,92.82,92.74,92.66,92.58,92.5,92.52,92.54,92.56,92.58,92.6,90.94,89.28,87.62,85.96,84.3
Australia,92.0,91.7,91.4,91.1,90.8,90.5,90.18,89.86,89.54,89.22,88.9,88.56,88.22,87.88,87.54,87.2,86.88,86.56,86.24,85.92,85.6,85.3,85.0,84.7,84.4,84.1,83.8,83.5,83.2,82.9,82.6,82.4,82.2,82.0,81.8,81.6,81.38,81.16,80.94,80.72,80.5,80.32,80.14,79.96,79.78,79.6,79.4,79.2,79.0,78.8,78.6,77.08,75.56,74.04,72.52,71.0
Austria,93.3,93.0,92.7,92.4,92.1,91.8,91.2,90.6,90.0,89.4,88.8,87.94,87.08,86.22,85.36,84.5,83.88,83.26,82.64,82.02,81.4,80.94,80.48,80.02,79.56,79.1,78.74,78.38,78.02,77.66,77.3,77.1,76.9,76.7,76.5,76.3,76.14,75.98,75.82,75.66,75.5,75.1,74.7,74.3,73.9,73.5,73.02,72.54,72.06,71.58,71.1,70.68,70.26,69.84,69.42,69.0
Azerbaijan,97.8,97.58,97.36,97.14,96.92,96.7,96.46,96.22,95.98,95.74,95.5,95.28,95.06,94.84,94.62,94.4,94.12,93.84,93.56,93.28,93.0,92.56,92.12,91.68,91.24,90.8,90.28,89.76,89.24,88.72,88.2,87.94,87.68,87.42,87.16,86.9,86.5,86.1,85.7,85.3,84.9,84.58,84.26,83.94,83.62,83.3,84.36,85.42,86.48,87.54,88.6,88.2,87.8,87.4,87.0,86.6
Bahamas,94.6,94.08,93.56,93.04,92.52,92.0,91.1,90.2,89.3,88.4,87.5,86.26,85.02,83.78,82.54,81.3,80.02,78.74,77.46,76.18,74.9,74.2,73.5,72.8,72.1,71.4,71.1,70.8,70.5,70.2,69.9,69.88,69.86,69.84,69.82,69.8,70.2,70.6,71.0,71.4,71.8,72.14,72.48,72.82,73.16,73.5,73.62,73.74,73.86,73.98,74.1,73.68,73.26,72.84,72.42,72.0
Bahrain,98.4,98.16,97.92,97.68,97.44,97.2,97.26,97.32,97.38,97.44,97.5,97.34,97.18,97.02,96.86,96.7,96.56,96.42,96.28,96.14,96.0,95.78,95.56,95.34,95.12,94.9,94.7,94.5,94.3,94.1,93.9,93.66,93.42,93.18,92.94,92.7,92.5,92.3,92.1,91.9,91.7,91.54,91.38,91.22,91.06,90.9,90.66,90.42,90.18,89.94,89.7,88.88,88.06,87.24,86.42,85.6
Bangladesh,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.46,99.42,99.38,99.34,99.3,99.24,99.18,99.12,99.06,99.0,98.94,98.88,98.82,98.76,98.7,98.6,98.5,98.4,98.3,98.2,98.16,98.12,98.08,98.04,98.0,97.98,97.96,97.94,97.92,97.9,97.44,96.98,96.52,96.06,95.6
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94,31.88,47.82,63.76,79.7
Belarus,91.3,90.4,89.5,88.6,87.7,86.8,85.86,84.92,83.98,83.04,82.1,81.62,81.14,80.66,80.18,79.7,79.5,79.3,79.1,78.9,78.7,78.7,78.7,78.7,78.7,78.7,78.56,78.42,78.28,78.14,78.0,77.6,77.2,76.8,76.4,76.0,75.94,75.88,75.82,75.76,75.7,76.86,78.02,79.18,80.34,81.5,81.78,82.06,82.34,82.62,82.9,82.24,81.58,80.92,80.26,79.6
Belgium,94.3,93.9,93.5,93.1,92.7,92.3,91.8,91.3,90.8,90.3,89.8,89.44,89.08,88.72,88.36,88.0,87.74,87.48,87.22,86.96,86.7,86.48,86.26,86.04,85.82,85.6,85.46,85.32,85.18,85.04,84.9,84.82,84.74,84.66,84.58,84.5,84.46,84.42,84.38,84.34,84.3,84.2,84.1,84.0,83.9,83.8,83.7,83.6,83.5,83.4,83.3,81.98,80.66,79.34,78.02,76.7
Belize,99.6,99.5,99.4,99.3,99.2,99.1,98.96,98.82,98.68,98.54,98.4,98.26,98.12,97.98,97.84,97.7,97.46,97.22,96.98,96.74,96.5,96.16,95.82,95.48,95.14,94.8,94.32,93.84,93.36,92.88,92.4,91.92,91.44,90.96,90.48,90.0,89.56,89.12,88.68,88.24,87.8,87.64,87.48,87.32,87.16,87.0,86.84,86.68,86.52,86.36,86.2,85.82,85.44,85.06,84.68,84.3
Benin,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.94,99.88,99.82,99.76,99.7,99.66,99.62,99.58,99.54,99.5,99.5,99.5,99.5,99.5,99.5,99.48,99.46,99.44,99.42,99.4,99.38,99.36,99.34,99.32,99.3,99.18,99.06,98.94,98.82,98.7,98.6,98.5,98.4,98.3,98.2,98.18,98.16,98.14,98.12,98.1,97.92,97.74,97.56,97.38,97.2
Bhutan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.84,99.78,99.72,99.66,99.6,99.54,99.48,99.42,99.36,99.3,99.12,98.94,98.76,98.58,98.4,98.1,97.8,97.5,97.2,96.9,96.36,95.82,95.28,94.74,94.2,94.08,93.96,93.84,93.72,93.6,93.32,93.04,92.76,92.48,92.2,91.96,91.72,91.48,91.24,91.0
Bolivia (Plurinational State of),99.4,99.28,99.16,99.04,98.92,98.8,98.68,98.56,98.44,98.32,98.2,97.96,97.72,97.48,97.24,97.0,96.7,96.4,96.1,95.8,95.5,95.1,94.7,94.3,93.9,93.5,93.04,92.58,92.12,91.66,91.2,90.84,90.48,90.12,89.76,89.4,89.38,89.36,89.34,89.32,89.3,89.26,89.22,89.18,89.14,89.1,89.06,89.02,88.98,88.94,88.9,88.14,87.38,86.62,85.86,85.1
