Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,98.4,98.26,98.12,97.98,97.84,97.7,97.62,97.54,97.46,97.38,97.3,96.92,96.54,96.16,95.78,95.4,95.18,94.96,94.74,94.52,94.3,94.06,93.82,93.58,93.34,93.1,92.84,92.58,92.32,92.06,91.8,91.84,91.88,91.92,91.96,92.0,91.88,91.76,91.64,91.52,91.4,90.26,89.12,87.98,86.84,85.7,83.14,80.58,78.02,75.46,72.9,69.58,66.26,62.94,59.62,56.3
Albania,13.0,11.74,10.48,9.22,7.96,6.7,6.14,5.58,5.02,4.46,3.9,3.58,3.26,2.94,2.62,2.3,2.2,2.1,2.0,1.9,1.8,1.78,1.76,1.74,1.72,1.7,1.7,1.7,1.7,1.7,1.7,1.76,1.82,1.88,1.94,2.0,2.12,2.24,2.36,2.48,2.6,2.8,3.0,3.2,3.4,3.6,3.74,3.88,4.02,4.16,4.3,3.96,3.62,3.28,2.94,2.6
Algeria,91.9,90.32,88.74,87.16,85.58,84.0,82.08,80.16,78.24,76.32,74.4,72.64,70.88,69.12,67.36,65.6,63.36,61.12,58.88,56.64,54.4,52.14,49.88,47.62,45.36,43.1,41.24,39.38,37.52,35.66,33.8,32.2,30.6,29.0,27.4,25.8,24.5,23.2,21.9,20.6,19.3,18.2,17.1,16.0,14.9,13.8,13.26,12.72,12.18,11.64,11.1,10.48,9.86,9.24,8.62,8.0
Angola,96.8,96.78,96.76,96.74,96.72,96.7,96.54,96.38,96.22,96.06,95.9,95.68,95.46,95.24,95.02,94.8,94.34,93.88,93.42,92.96,92.5,91.6,90.7,89.8,88.9,88.0,86.72,85.44,84.16,82.88,81.6,81.44,81.28,81.12,80.96,80.8,80.94,81.08,81.22,81.36,81.5,81.46,81.42,81.38,81.34,81.3,80.42,79.54,78.66,77.78,76.9,72.18,67.46,62.74,58.02,53.3
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.44,0.66,0.88,1.1
Argentina,31.1,30.24,29.38,28.52,27.66,26.8,25.94,25.08,24.22,23.36,22.5,21.68,20.86,20.04,19.22,18.4,17.74,17.08,16.42,15.76,15.1,14.58,14.06,13.54,13.02,12.5,12.06,11.62,11.18,10.74,10.3,9.94,9.58,9.22,8.86,8.5,8.26,8.02,7.78,7.54,7.3,7.14,6.98,6.82,6.66,6.5,6.44,6.38,6.32,6.26,6.2,5.88,5.56,5.24,4.92,4.6
Armenia,1.8,1.6,1.4,1.2,1.0,0.8,0.72,0.64,0.56,0.48,0.4,0.36,0.32,0.28,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Aruba,45.5,43.0,40.5,38.0,35.5,33.0,32.08,31.16,30.24,29.32,28.4,27.04,25.68,24.32,22.96,21.6,20.38,19.16,17.94,16.72,15.5,14.66,13.82,12.98,12.14,11.3,10.96,10.62,10.28,9.94,9.6,9.16,8.72,8.28,7.84,7.4,7.06,6.72,6.38,6.04,5.7,5.42,5.14,4.86,4.58,4.3,4.1,3.9,3.7,3.5,3.3,2.9,2.5,2.1,1.7,1.3
Australia,2.6,2.4,2.2,2.0,1.8,1.6,1.52,1.44,1.36,1.28,1.2,1.18,1.16,1.14,1.12,1.1,1.06,1.02,0.98,0.94,0.9,0.86,0.82,0.78,0.74,0.7,0.68,0.66,0.64,0.62,0.6,0.56,0.52,0.48,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
