Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.4,99.3,99.2,99.1,99.0,98.62,98.24,97.86,97.48,97.1,96.2,95.3,94.4,93.5,92.6,91.76,90.92,90.08,89.24,88.4
Albania,60.9,57.74,54.58,51.42,48.26,45.1,41.3,37.5,33.7,29.9,26.1,23.22,20.34,17.46,14.58,11.7,10.46,9.22,7.98,6.74,5.5,5.14,4.78,4.42,4.06,3.7,3.6,3.5,3.4,3.3,3.2,3.26,3.32,3.38,3.44,3.5,3.72,3.94,4.16,4.38,4.6,4.82,5.04,5.26,5.48,5.7,5.9,6.1,6.3,6.5,6.7,6.26,5.82,5.38,4.94,4.5
Algeria,95.9,95.0,94.1,93.2,92.3,91.4,90.3,89.2,88.1,87.0,85.9,84.64,83.38,82.12,80.86,79.6,77.66,75.72,73.78,71.84,69.9,67.44,64.98,62.52,60.06,57.6,55.18,52.76,50.34,47.92,45.5,43.48,41.46,39.44,37.42,35.4,34.08,32.76,31.44,30.12,28.8,27.66,26.52,25.38,24.24,23.1,22.12,21.14,20.16,19.18,18.2,17.12,16.04,14.96,13.88,12.8
Angola,98.7,98.72,98.74,98.76,98.78,98.8,98.74,98.68,98.62,98.56,98.5,98.38,98.26,98.14,98.02,97.9,97.72,97.54,97.36,97.18,97.0,96.7,96.4,96.1,95.8,95.5,95.2,94.9,94.6,94.3,94.0,93.86,93.72,93.58,93.44,93.3,93.16,93.02,92.88,92.74,92.6,92.38,92.16,91.94,91.72,91.5,91.0,90.5,90.0,89.5,89.0,86.9,84.8,82.7,80.6,78.5
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,5.16,7.74,10.32,12.9
Argentina,73.6,72.5,71.4,70.3,69.2,68.1,66.84,65.58,64.32,63.06,61.8,60.6,59.4,58.2,57.0,55.8,54.76,53.72,52.68,51.64,50.6,49.74,48.88,48.02,47.16,46.3,45.4,44.5,43.6,42.7,41.8,41.0,40.2,39.4,38.6,37.8,37.14,36.48,35.82,35.16,34.5,33.34,32.18,31.02,29.86,28.7,28.02,27.34,26.66,25.98,25.3,24.52,23.74,22.96,22.18,21.4
Armenia,11.3,10.04,8.78,7.52,6.26,5.0,4.44,3.88,3.32,2.76,2.2,1.98,1.76,1.54,1.32,1.1,1.04,0.98,0.92,0.86,0.8,0.78,0.76,0.74,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.82,0.94,1.06,1.18,1.3,1.22,1.14,1.06,0.98,0.9
Aruba,78.5,75.84,73.18,70.52,67.86,65.2,63.5,61.8,60.1,58.4,56.7,55.04,53.38,51.72,50.06,48.4,46.56,44.72,42.88,41.04,39.2,38.06,36.92,35.78,34.64,33.5,32.6,31.7,30.8,29.9,29.0,28.76,28.52,28.28,28.04,27.8,27.1,26.4,25.7,25.0,24.3,24.46,24.62,24.78,24.94,25.1,23.96,22.82,21.68,20.54,19.4,18.48,17.56,16.64,15.72,14.8
Australia,22.7,21.34,19.98,18.62,17.26,15.9,14.8,13.7,12.6,11.5,10.4,9.58,8.76,7.94,7.12,6.3,5.84,5.38,4.92,4.46,4.0,3.76,3.52,3.28,3.04,2.8,2.66,2.52,2.38,2.24,2.1,2.0,1.9,1.8,1.7,1.6,1.54,1.48,1.42,1.36,1.3,1.24,1.18,1.12,1.06,1.0,1.08,1.16,1.24,1.32,1.4,1.32,1.24,1.16,1.08,1.0
Austria,43.3,41.18,39.06,36.94,34.82,32.7,30.48,28.26,26.04,23.82,21.6,20.32,19.04,17.76,16.48,15.2,14.02,12.84,11.66,10.48,9.3,8.28,7.26,6.24,5.22,4.2,3.78,3.36,2.94,2.52,2.1,2.04,1.98,1.92,1.86,1.8,1.86,1.92,1.98,2.04,2.1,2.14,2.18,2.22,2.26,2.3,2.36,2.42,2.48,2.54,2.6,2.66,2.72,2.78,2.84,2.9
