Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.16,,,,,0.18,,,,,0.22,,,,,0.27,,,,,0.32999999999999996,,,,,0.4,,,,,0.5,,,,,0.6599999999999999,,,,,0.8200000000000001,,,,,1.17,,,,,1.73,,,,,2.23
Albania,0.06,,,,,0.14,,,,,0.33,,,,,0.72,,,,,1.47,,,,,2.7199999999999998,,,,,4.55,,,,,7.069999999999999,,,,,10.27,,,,,13.0,,,,,15.370000000000001,,,,,17.71
Algeria,0.03,,,,,0.05,,,,,0.08,,,,,0.11000000000000001,,,,,0.2,,,,,0.36,,,,,0.65,,,,,1.2,,,,,2.05,,,,,3.41,,,,,5.6,,,,,8.1
Angola,0.2,,,,,0.25,,,,,0.31000000000000005,,,,,0.38,,,,,0.47,,,,,0.5800000000000001,,,,,0.7,,,,,0.85,,,,,1.0499999999999998,,,,,1.3199999999999998,,,,,1.58,,,,,1.9100000000000001
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,15.45
Argentina,8.56,,,,,9.21,,,,,9.8,,,,,10.35,,,,,10.8,,,,,11.3,,,,,12.01,,,,,12.84,,,,,13.66,,,,,14.52,,,,,15.49,,,,,16.57
Armenia,0.16,,,,,0.36,,,,,0.79,,,,,1.6600000000000001,,,,,3.21,,,,,5.62,,,,,8.92,,,,,12.76,,,,,16.37,,,,,18.95,,,,,20.68,,,,,21.48
Aruba,3.41,,,,,3.8,,,,,4.29,,,,,4.859999999999999,,,,,5.55,,,,,6.34,,,,,7.220000000000001,,,,,8.36,,,,,9.49,,,,,10.870000000000001,,,,,12.780000000000001,,,,,14.3
Australia,14.030000000000001,,,,,14.43,,,,,14.969999999999999,,,,,15.57,,,,,16.26,,,,,17.09,,,,,18.07,,,,,19.15,,,,,20.34,,,,,21.52,,,,,22.65,,,,,24.0
Austria,12.73,,,,,13.24,,,,,13.82,,,,,14.399999999999999,,,,,14.850000000000001,,,,,15.27,,,,,15.85,,,,,16.450000000000003,,,,,17.0,,,,,17.72,,,,,18.97,,,,,20.84
Azerbaijan,1.34,,,,,1.95,,,,,2.78,,,,,3.92,,,,,5.41,,,,,7.24,,,,,9.41,,,,,11.780000000000001,,,,,14.18,,,,,16.03,,,,,17.6,,,,,19.130000000000003
Bahamas,10.92,,,,,12.16,,,,,13.17,,,,,13.89,,,,,14.58,,,,,14.98,,,,,14.94,,,,,15.0,,,,,15.68,,,,,17.130000000000003,,,,,19.04,,,,,20.93
Bahrain,0.08,,,,,0.14,,,,,0.22000000000000003,,,,,0.38,,,,,0.65,,,,,1.0899999999999999,,,,,1.8199999999999998,,,,,3.17,,,,,5.27,,,,,8.52,,,,,11.77,,,,,13.309999999999999
Bangladesh,1.81,,,,,2.05,,,,,2.31,,,,,2.5700000000000003,,,,,2.9400000000000004,,,,,3.26,,,,,3.3899999999999997,,,,,3.5700000000000003,,,,,3.94,,,,,4.43,,,,,5.0600000000000005,,,,,5.65
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,15.03
Belarus,4.58,,,,,5.84,,,,,7.0600000000000005,,,,,8.32,,,,,9.74,,,,,11.469999999999999,,,,,13.23,,,,,14.2,,,,,14.690000000000001,,,,,16.07,,,,,18.18,,,,,19.89
Belgium,13.899999999999999,,,,,14.100000000000001,,,,,14.309999999999999,,,,,14.49,,,,,14.66,,,,,14.93,,,,,15.370000000000001,,,,,15.94,,,,,16.6,,,,,17.55,,,,,18.91,,,,,20.509999999999998
Belize,4.51,,,,,5.02,,,,,5.5600000000000005,,,,,6.13,,,,,6.75,,,,,7.35,,,,,8.02,,,,,8.75,,,,,9.62,,,,,10.65,,,,,11.84,,,,,13.280000000000001
Benin,0.27,,,,,0.29000000000000004,,,,,0.32999999999999996,,,,,0.37,,,,,0.44,,,,,0.52,,,,,0.63,,,,,0.84,,,,,1.2,,,,,1.76,,,,,2.46,,,,,3.12
