Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,2.1,1.92,1.74,1.55,1.37,1.19,1.19,1.19,1.18,1.18,1.18,1.11,1.04,0.98,0.91,0.84,0.79,0.73,0.68,0.62,0.57,0.54,0.52,0.49,0.47,0.44,0.42,0.41,0.39,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.45,0.43,0.42,0.4,0.38,0.72,1.05,1.39,1.72,2.06
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.08,0.09,0.11,0.12,0.15,0.18,0.2,0.23,0.26,0.3,0.35,0.39,0.44,0.48,0.56,0.64,0.72,0.8,0.88,1.21,1.55,1.88,2.22,2.55
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.1,0.11,0.12,0.14,0.16,0.19,0.21,0.23,0.29,0.35,0.4,0.46,0.52
Angola,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25,0.26,0.27,0.28,0.29,0.31,0.32,0.33,0.35,0.36,0.38,0.39,0.41,0.58,0.74,0.91,1.07,1.24
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,3.64,5.47,7.29,9.11
Argentina,4.33,4.47,4.6,4.74,4.87,5.01,5.15,5.3,5.44,5.59,5.73,5.88,6.03,6.17,6.32,6.47,6.62,6.77,6.91,7.06,7.21,7.35,7.5,7.64,7.79,7.93,8.07,8.21,8.36,8.5,8.64,8.77,8.9,9.04,9.17,9.3,9.43,9.55,9.68,9.8,9.93,10.05,10.17,10.29,10.41,10.53,10.63,10.73,10.82,10.92,11.02,11.14,11.26,11.37,11.49,11.61
Armenia,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.11,0.12,0.14,0.16,0.2,0.25,0.29,0.34,0.38,0.47,0.56,0.65,0.74,0.83,1.01,1.19,1.37,1.55,1.73,2.06,2.38,2.71,3.03,3.36,3.88,4.41,4.93,5.46,5.98
Aruba,2.1,2.1,2.1,2.11,2.11,2.11,2.1,2.09,2.07,2.06,2.05,2.16,2.27,2.39,2.5,2.61,2.67,2.74,2.8,2.87,2.93,3.04,3.15,3.27,3.38,3.49,3.57,3.64,3.72,3.79,3.87,3.95,4.04,4.12,4.21,4.29,4.38,4.47,4.55,4.64,4.73,4.83,4.93,5.02,5.12,5.22,5.36,5.5,5.64,5.78,5.92,6.55,7.19,7.82,8.46,9.09
Australia,12.9,12.91,12.92,12.93,12.94,12.95,12.97,12.98,13.0,13.01,13.03,13.05,13.07,13.09,13.11,13.13,13.16,13.19,13.22,13.25,13.28,13.32,13.37,13.41,13.46,13.5,13.56,13.61,13.67,13.72,13.78,13.86,13.94,14.01,14.09,14.17,14.28,14.39,14.51,14.62,14.73,14.86,15.0,15.13,15.27,15.4,15.58,15.75,15.93,16.1,16.28,16.51,16.74,16.97,17.2,17.43
Austria,9.98,10.03,10.08,10.12,10.17,10.22,10.29,10.36,10.43,10.5,10.57,10.63,10.69,10.75,10.81,10.87,10.94,11.0,11.07,11.13,11.2,11.28,11.36,11.43,11.51,11.59,11.66,11.73,11.81,11.88,11.95,12.05,12.14,12.24,12.33,12.43,12.55,12.66,12.78,12.89,13.01,13.14,13.27,13.41,13.54,13.67,13.79,13.91,14.03,14.15,14.27,14.43,14.58,14.74,14.89,15.05
