Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,92.5,,,,,90.6,,,,,89.1,,,,,84.2,,,,,82.4,,,,,81.3,,,,,81.1,,,,,79.9,,,,,77.1,,,,,70.0,,,,,57.0,,,,,43.0
Albania,9.1,,,,,4.8,,,,,3.1,,,,,2.1,,,,,1.9000000000000001,,,,,1.9000000000000001,,,,,2.1999999999999997,,,,,2.5,,,,,3.1,,,,,3.6999999999999997,,,,,4.0,,,,,2.4
Algeria,81.7,,,,,71.1,,,,,60.1,,,,,51.400000000000006,,,,,41.400000000000006,,,,,30.900000000000002,,,,,22.9,,,,,17.4,,,,,14.3,,,,,10.7,,,,,8.399999999999999,,,,,6.0
Angola,91.0,,,,,89.7,,,,,86.5,,,,,82.89999999999999,,,,,76.6,,,,,70.3,,,,,64.0,,,,,64.8,,,,,66.5,,,,,66.80000000000001,,,,,61.4,,,,,41.1
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.4
Argentina,31.5,,,,,27.599999999999998,,,,,23.8,,,,,19.599999999999998,,,,,15.899999999999999,,,,,13.1,,,,,10.8,,,,,9.2,,,,,8.1,,,,,7.4,,,,,7.4,,,,,5.6000000000000005
Armenia,1.4,,,,,0.6,,,,,0.3,,,,,0.2,,,,,0.2,,,,,0.3,,,,,0.3,,,,,0.2,,,,,0.3,,,,,0.3,,,,,0.3,,,,,0.2
Aruba,39.2,,,,,31.2,,,,,25.9,,,,,19.0,,,,,15.3,,,,,11.6,,,,,9.8,,,,,8.7,,,,,6.5,,,,,5.4,,,,,4.2,,,,,2.0
Australia,2.2,,,,,1.4,,,,,1.1,,,,,0.9,,,,,0.8,,,,,0.7,,,,,0.5,,,,,0.4,,,,,0.4,,,,,0.3,,,,,0.2,,,,,0.1
Austria,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Azerbaijan,7.1,,,,,4.1,,,,,2.0999999999999996,,,,,1.0,,,,,0.5,,,,,0.30000000000000004,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.1,,,,,0.0
Bahamas,22.0,,,,,16.5,,,,,11.4,,,,,7.9,,,,,4.9,,,,,2.9000000000000004,,,,,2.1,,,,,1.6,,,,,1.4000000000000001,,,,,0.9,,,,,0.5,,,,,0.3
Bahrain,81.3,,,,,68.9,,,,,53.2,,,,,48.8,,,,,45.3,,,,,42.4,,,,,38.6,,,,,35.0,,,,,31.6,,,,,28.7,,,,,25.8,,,,,2.8
Bangladesh,77.5,,,,,74.7,,,,,72.7,,,,,69.10000000000001,,,,,65.8,,,,,62.4,,,,,59.5,,,,,53.6,,,,,45.599999999999994,,,,,36.3,,,,,28.0,,,,,21.9
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.4
Belarus,2.8,,,,,0.9,,,,,0.30000000000000004,,,,,0.2,,,,,0.1,,,,,0.2,,,,,0.30000000000000004,,,,,0.30000000000000004,,,,,0.30000000000000004,,,,,0.30000000000000004,,,,,0.30000000000000004,,,,,0.2
Belgium,8.4,,,,,6.2,,,,,4.5,,,,,3.3,,,,,2.6,,,,,2.0,,,,,1.5,,,,,1.0,,,,,0.6,,,,,0.2,,,,,0.0,,,,,0.0
Belize,43.8,,,,,39.0,,,,,34.9,,,,,32.4,,,,,30.9,,,,,29.8,,,,,26.8,,,,,24.7,,,,,22.599999999999998,,,,,20.0,,,,,15.6,,,,,13.1
Benin,90.69999999999999,,,,,87.8,,,,,85.8,,,,,82.89999999999999,,,,,79.69999999999999,,,,,74.4,,,,,73.9,,,,,75.9,,,,,72.4,,,,,63.5,,,,,50.6,,,,,38.1
Bhutan,98.0,,,,,97.5,,,,,95.2,,,,,91.7,,,,,89.39999999999999,,,,,86.0,,,,,81.0,,,,,78.1,,,,,70.0,,,,,58.9,,,,,40.5,,,,,37.5
Bolivia (Plurinational State of),61.4,,,,,56.199999999999996,,,,,50.3,,,,,43.4,,,,,36.7,,,,,31.1,,,,,26.200000000000003,,,,,20.9,,,,,14.3,,,,,8.7,,,,,5.3,,,,,2.1
Bosnia and Herzegovina,34.7,,,,,23.5,,,,,13.7,,,,,7.1,,,,,3.9,,,,,2.3,,,,,1.3,,,,,0.9,,,,,0.7999999999999999,,,,,0.7,,,,,0.7,,,,,0.7999999999999999
Botswana,86.4,,,,,78.2,,,,,67.5,,,,,57.3,,,,,46.9,,,,,34.400000000000006,,,,,22.700000000000003,,,,,14.9,,,,,10.7,,,,,8.5,,,,,7.5,,,,,5.2
Brazil,58.7,,,,,54.0,,,,,46.7,,,,,38.9,,,,,32.4,,,,,27.799999999999997,,,,,24.7,,,,,20.7,,,,,16.1,,,,,11.100000000000001,,,,,7.800000000000001,,,,,6.6
Brunei Darussalam,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,3.4000000000000004
Bulgaria,3.3,,,,,2.3,,,,,1.6,,,,,1.4,,,,,1.4,,,,,1.4,,,,,1.5,,,,,1.8,,,,,2.5,,,,,3.1,,,,,3.1,,,,,2.5
Burkina Faso,97.7,,,,,96.5,,,,,94.5,,,,,92.6,,,,,91.3,,,,,89.8,,,,,87.3,,,,,84.5,,,,,84.0,,,,,85.39999999999999,,,,,77.5,,,,,69.7
Burundi,94.3,,,,,92.89999999999999,,,,,90.80000000000001,,,,,87.6,,,,,87.3,,,,,86.9,,,,,81.5,,,,,72.1,,,,,63.2,,,,,67.3,,,,,61.3,,,,,51.6
Cambodia,82.9,,,,,77.7,,,,,71.80000000000001,,,,,67.4,,,,,66.69999999999999,,,,,70.4,,,,,65.80000000000001,,,,,45.9,,,,,40.0,,,,,42.2,,,,,41.5,,,,,31.799999999999997
Cameroon,72.89999999999999,,,,,65.2,,,,,54.900000000000006,,,,,47.1,,,,,40.5,,,,,41.4,,,,,37.0,,,,,34.6,,,,,32.699999999999996,,,,,29.5,,,,,24.0,,,,,18.400000000000002
Canada,4.3,,,,,3.0,,,,,2.1,,,,,1.6,,,,,1.5,,,,,1.2000000000000002,,,,,1.0,,,,,0.9,,,,,0.5,,,,,0.2,,,,,0.2,,,,,0.2
Cape Verde,85.80000000000001,,,,,82.6,,,,,76.7,,,,,75.2,,,,,73.5,,,,,67.7,,,,,64.5,,,,,59.300000000000004,,,,,49.7,,,,,30.7,,,,,29.0,,,,,27.1
Central African Republic,96.1,,,,,94.6,,,,,90.3,,,,,84.3,,,,,79.0,,,,,72.80000000000001,,,,,72.7,,,,,68.9,,,,,59.5,,,,,49.9,,,,,40.400000000000006,,,,,30.8
Chad,98.5,,,,,95.9,,,,,92.9,,,,,91.1,,,,,89.5,,,,,87.9,,,,,86.5,,,,,83.2,,,,,79.7,,,,,75.8,,,,,69.1,,,,,61.2
Channel Islands,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Chile,35.0,,,,,28.200000000000003,,,,,21.5,,,,,16.1,,,,,13.100000000000001,,,,,10.7,,,,,7.7,,,,,5.6000000000000005,,,,,4.8,,,,,3.9000000000000004,,,,,3.0999999999999996,,,,,2.2
China,41.400000000000006,,,,,30.8,,,,,25.3,,,,,20.5,,,,,14.5,,,,,8.9,,,,,7.4,,,,,6.4,,,,,5.800000000000001,,,,,3.2,,,,,2.1,,,,,1.5
Colombia,59.3,,,,,52.900000000000006,,,,,45.1,,,,,37.2,,,,,30.2,,,,,25.1,,,,,22.3,,,,,19.6,,,,,15.5,,,,,12.1,,,,,10.0,,,,,7.9
Comoros,94.3,,,,,91.8,,,,,86.0,,,,,77.3,,,,,68.2,,,,,60.4,,,,,55.2,,,,,51.0,,,,,44.1,,,,,35.900000000000006,,,,,27.6,,,,,20.5
Congo,76.8,,,,,67.5,,,,,55.1,,,,,43.4,,,,,32.0,,,,,22.2,,,,,18.8,,,,,19.7,,,,,19.5,,,,,19.6,,,,,19.2,,,,,13.7
Costa Rica,48.599999999999994,,,,,39.7,,,,,30.0,,,,,21.5,,,,,16.1,,,,,14.0,,,,,14.5,,,,,14.7,,,,,13.200000000000001,,,,,10.5,,,,,7.5,,,,,5.7
Cote d'Ivoire,92.30000000000001,,,,,88.0,,,,,81.80000000000001,,,,,76.7,,,,,72.9,,,,,67.4,,,,,63.8,,,,,64.2,,,,,65.3,,,,,61.9,,,,,56.5,,,,,49.5
