Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,7.4,,,,,9.3,,,,,10.5,,,,,14.9,,,,,16.0,,,,,16.4,,,,,16.0,,,,,16.4,,,,,17.8,,,,,22.0,,,,,29.7,,,,,38.6
Albania,76.4,,,,,73.2,,,,,68.4,,,,,66.2,,,,,64.2,,,,,60.6,,,,,56.0,,,,,53.3,,,,,52.0,,,,,45.0,,,,,44.5,,,,,38.800000000000004
Algeria,18.0,,,,,27.6,,,,,37.5,,,,,43.3,,,,,48.6,,,,,52.800000000000004,,,,,54.5,,,,,53.599999999999994,,,,,49.7,,,,,43.8,,,,,36.6,,,,,29.6
Angola,9.0,,,,,10.3,,,,,13.5,,,,,16.9,,,,,23.1,,,,,29.099999999999998,,,,,35.1,,,,,34.0,,,,,31.9,,,,,31.4,,,,,35.5,,,,,52.8
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,25.9
Argentina,62.0,,,,,63.099999999999994,,,,,63.2,,,,,63.2,,,,,62.2,,,,,60.099999999999994,,,,,56.7,,,,,53.2,,,,,49.4,,,,,44.1,,,,,39.6,,,,,34.1
Armenia,36.2,,,,,27.900000000000002,,,,,23.700000000000003,,,,,21.099999999999998,,,,,18.9,,,,,17.1,,,,,15.6,,,,,14.7,,,,,13.799999999999999,,,,,13.6,,,,,14.600000000000001,,,,,10.100000000000001
Aruba,57.9,,,,,64.0,,,,,66.5,,,,,69.3,,,,,69.6,,,,,69.3,,,,,68.8,,,,,67.2,,,,,64.9,,,,,61.9,,,,,56.8,,,,,48.1
Australia,38.9,,,,,30.7,,,,,23.6,,,,,18.2,,,,,14.7,,,,,12.2,,,,,10.1,,,,,8.700000000000001,,,,,7.5,,,,,6.6,,,,,6.1,,,,,4.4
Austria,55.3,,,,,49.5,,,,,43.4,,,,,38.2,,,,,31.8,,,,,26.0,,,,,23.1,,,,,22.4,,,,,22.099999999999998,,,,,21.200000000000003,,,,,20.099999999999998,,,,,20.0
Azerbaijan,45.0,,,,,36.5,,,,,29.700000000000003,,,,,25.3,,,,,22.0,,,,,19.0,,,,,16.2,,,,,14.0,,,,,12.2,,,,,11.2,,,,,11.1,,,,,8.4
Bahamas,50.3,,,,,44.9,,,,,37.400000000000006,,,,,28.799999999999997,,,,,22.7,,,,,18.4,,,,,14.8,,,,,11.4,,,,,7.9,,,,,5.2,,,,,4.0,,,,,3.1999999999999997
Bahrain,16.3,,,,,23.5,,,,,32.0,,,,,32.400000000000006,,,,,31.7,,,,,29.6,,,,,28.0,,,,,25.9,,,,,23.7,,,,,22.1,,,,,19.3,,,,,38.3
Bangladesh,21.4,,,,,23.9,,,,,25.4,,,,,28.4,,,,,30.6,,,,,32.9,,,,,34.4,,,,,38.099999999999994,,,,,42.599999999999994,,,,,47.0,,,,,48.5,,,,,48.8
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,26.1
Belarus,50.6,,,,,36.599999999999994,,,,,19.6,,,,,15.2,,,,,13.6,,,,,12.200000000000001,,,,,10.9,,,,,9.600000000000001,,,,,8.1,,,,,6.3999999999999995,,,,,6.6,,,,,4.7
Belgium,69.2,,,,,66.3,,,,,62.8,,,,,58.699999999999996,,,,,54.0,,,,,49.5,,,,,46.3,,,,,44.199999999999996,,,,,41.8,,,,,38.599999999999994,,,,,34.5,,,,,25.2
Belize,53.4,,,,,56.199999999999996,,,,,57.400000000000006,,,,,57.3,,,,,54.9,,,,,52.0,,,,,50.599999999999994,,,,,48.400000000000006,,,,,45.9,,,,,41.599999999999994,,,,,38.8,,,,,37.0
Benin,9.2,,,,,11.9,,,,,13.899999999999999,,,,,16.299999999999997,,,,,18.8,,,,,23.200000000000003,,,,,23.3,,,,,21.0,,,,,23.4,,,,,30.1,,,,,38.8,,,,,48.3
Bhutan,2.0,,,,,2.5,,,,,4.8,,,,,8.1,,,,,10.0,,,,,12.7,,,,,16.400000000000002,,,,,17.5,,,,,21.8,,,,,25.3,,,,,40.8,,,,,40.900000000000006
Bolivia (Plurinational State of),34.7,,,,,38.6,,,,,42.8,,,,,47.1,,,,,50.5,,,,,52.2,,,,,53.0,,,,,53.7,,,,,55.3,,,,,55.599999999999994,,,,,52.9,,,,,45.5
