Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.9,,,,,99.89999999999999,,,,,99.6,,,,,99.10000000000001,,,,,98.4,,,,,97.69999999999999,,,,,97.1,,,,,96.30000000000001,,,,,94.89999999999999,,,,,92.0,,,,,86.7,,,,,81.6
Albania,85.5,,,,,78.0,,,,,71.5,,,,,68.3,,,,,66.1,,,,,62.5,,,,,58.199999999999996,,,,,55.8,,,,,55.1,,,,,48.7,,,,,48.5,,,,,41.2
Algeria,99.7,,,,,98.7,,,,,97.60000000000001,,,,,94.7,,,,,90.0,,,,,83.7,,,,,77.4,,,,,71.0,,,,,64.0,,,,,54.5,,,,,45.0,,,,,35.6
Angola,100.0,,,,,100.00000000000001,,,,,100.0,,,,,99.8,,,,,99.7,,,,,99.39999999999999,,,,,99.1,,,,,98.8,,,,,98.39999999999999,,,,,98.20000000000002,,,,,96.89999999999999,,,,,93.9
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,27.3
Argentina,93.5,,,,,90.69999999999999,,,,,87.0,,,,,82.8,,,,,78.1,,,,,73.2,,,,,67.5,,,,,62.39999999999999,,,,,57.5,,,,,51.5,,,,,47.0,,,,,39.7
Armenia,37.6,,,,,28.5,,,,,24.0,,,,,21.3,,,,,19.099999999999998,,,,,17.4,,,,,15.9,,,,,14.9,,,,,14.1,,,,,13.9,,,,,14.9,,,,,10.3
Aruba,97.10000000000001,,,,,95.19999999999999,,,,,92.39999999999999,,,,,88.3,,,,,84.9,,,,,80.9,,,,,78.6,,,,,75.9,,,,,71.4,,,,,67.3,,,,,61.0,,,,,50.1
Australia,41.099999999999994,,,,,32.1,,,,,24.7,,,,,19.1,,,,,15.5,,,,,12.9,,,,,10.6,,,,,9.100000000000001,,,,,7.9,,,,,6.9,,,,,6.3,,,,,4.5
Austria,55.3,,,,,49.5,,,,,43.4,,,,,38.2,,,,,31.8,,,,,26.0,,,,,23.1,,,,,22.4,,,,,22.099999999999998,,,,,21.200000000000003,,,,,20.099999999999998,,,,,20.0
Azerbaijan,52.099999999999994,,,,,40.6,,,,,31.8,,,,,26.3,,,,,22.5,,,,,19.3,,,,,16.4,,,,,14.2,,,,,12.399999999999999,,,,,11.399999999999999,,,,,11.2,,,,,8.4
