Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.0,,,,,0.2,,,,,0.4,,,,,0.8,,,,,1.5,,,,,2.4,,,,,2.9,,,,,3.7,,,,,5.199999999999999,,,,,8.0,,,,,13.3,,,,,18.3
Albania,14.6,,,,,21.9,,,,,28.5,,,,,31.8,,,,,33.900000000000006,,,,,37.5,,,,,41.8,,,,,44.1,,,,,44.900000000000006,,,,,51.3,,,,,51.400000000000006,,,,,58.8
Algeria,0.4,,,,,1.2,,,,,2.4000000000000004,,,,,5.3,,,,,10.2,,,,,16.3,,,,,22.5,,,,,29.0,,,,,36.0,,,,,45.4,,,,,55.0,,,,,64.4
Angola,0.0,,,,,0.0,,,,,0.1,,,,,0.1,,,,,0.3,,,,,0.6,,,,,0.9,,,,,1.2,,,,,1.5,,,,,1.9000000000000001,,,,,3.1,,,,,6.1
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,72.6
Argentina,6.5,,,,,9.3,,,,,13.0,,,,,17.3,,,,,21.9,,,,,26.8,,,,,32.3,,,,,37.5,,,,,42.5,,,,,48.4,,,,,52.9,,,,,81.0
Armenia,62.4,,,,,71.4,,,,,76.1,,,,,78.60000000000001,,,,,80.8,,,,,82.6,,,,,84.1,,,,,85.1,,,,,85.9,,,,,86.19999999999999,,,,,85.1,,,,,89.7
Aruba,2.9,,,,,4.8,,,,,7.699999999999999,,,,,11.6,,,,,15.1,,,,,19.2,,,,,21.5,,,,,24.0,,,,,28.6,,,,,32.5,,,,,39.0,,,,,49.900000000000006
Australia,58.9,,,,,68.0,,,,,75.3,,,,,80.89999999999999,,,,,84.5,,,,,87.10000000000001,,,,,89.3,,,,,90.9,,,,,92.0,,,,,93.1,,,,,93.6,,,,,124.69999999999999
Austria,44.6,,,,,50.4,,,,,56.5,,,,,61.8,,,,,68.2,,,,,74.0,,,,,76.9,,,,,77.6,,,,,78.0,,,,,78.9,,,,,79.9,,,,,111.0
Azerbaijan,48.0,,,,,59.5,,,,,68.3,,,,,73.69999999999999,,,,,77.5,,,,,80.7,,,,,83.5,,,,,85.8,,,,,87.5,,,,,88.7,,,,,88.80000000000001,,,,,91.5
Bahamas,27.700000000000003,,,,,38.6,,,,,51.2,,,,,63.2,,,,,72.3,,,,,78.6,,,,,83.0,,,,,87.0,,,,,90.7,,,,,93.9,,,,,95.39999999999999,,,,,96.6
Bahrain,2.4000000000000004,,,,,7.5,,,,,14.8,,,,,18.7,,,,,23.1,,,,,28.0,,,,,33.5,,,,,39.0,,,,,44.7,,,,,49.3,,,,,54.900000000000006,,,,,73.1
Bangladesh,1.1,,,,,1.4000000000000001,,,,,1.9,,,,,2.5,,,,,3.6,,,,,4.8,,,,,6.199999999999999,,,,,8.4,,,,,11.7,,,,,16.7,,,,,23.599999999999998,,,,,29.299999999999997
