Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,99.9,,,,,99.89999999999999,,,,,99.6,,,,,99.10000000000001,,,,,98.4,,,,,97.69999999999999,,,,,97.1,,,,,96.30000000000001,,,,,94.89999999999999,,,,,92.0,,,,,86.7,,,,,81.6
Albania,49.7,,,,,35.1,,,,,19.400000000000002,,,,,9.2,,,,,5.0,,,,,3.8,,,,,3.8,,,,,4.3,,,,,5.4,,,,,6.0,,,,,6.6,,,,,4.5
Algeria,89.9,,,,,82.5,,,,,74.9,,,,,68.4,,,,,59.900000000000006,,,,,48.0,,,,,35.5,,,,,27.2,,,,,24.1,,,,,19.5,,,,,15.2,,,,,10.9
Angola,97.9,,,,,97.60000000000001,,,,,96.5,,,,,94.8,,,,,92.5,,,,,90.19999999999999,,,,,88.1,,,,,87.6,,,,,87.3,,,,,86.20000000000002,,,,,82.6,,,,,70.8
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,17.3
Argentina,73.5,,,,,68.89999999999999,,,,,63.8,,,,,58.5,,,,,53.4,,,,,49.4,,,,,44.8,,,,,41.099999999999994,,,,,38.3,,,,,32.5,,,,,29.4,,,,,24.900000000000002
Armenia,9.9,,,,,4.2,,,,,1.9000000000000001,,,,,1.1,,,,,0.8999999999999999,,,,,0.8999999999999999,,,,,0.8999999999999999,,,,,0.8999999999999999,,,,,1.0,,,,,1.0,,,,,1.6,,,,,1.0
Aruba,68.4,,,,,60.599999999999994,,,,,52.099999999999994,,,,,43.9,,,,,37.7,,,,,32.5,,,,,29.8,,,,,29.4,,,,,26.5,,,,,27.0,,,,,23.5,,,,,18.1
Australia,20.599999999999998,,,,,14.6,,,,,9.7,,,,,5.9,,,,,4.0,,,,,2.9000000000000004,,,,,2.1,,,,,1.7000000000000002,,,,,1.4,,,,,1.1,,,,,1.5999999999999999,,,,,1.2000000000000002
Austria,34.0,,,,,25.0,,,,,15.7,,,,,10.6,,,,,6.3,,,,,3.0,,,,,1.6,,,,,1.4,,,,,1.7,,,,,2.1,,,,,2.4,,,,,2.8
Azerbaijan,23.799999999999997,,,,,14.6,,,,,7.5,,,,,3.6,,,,,1.8,,,,,1.0,,,,,0.7,,,,,0.7,,,,,0.7,,,,,0.7,,,,,0.7,,,,,0.4
Bahamas,46.7,,,,,36.9,,,,,26.700000000000003,,,,,16.8,,,,,9.600000000000001,,,,,5.800000000000001,,,,,4.6,,,,,4.0,,,,,3.4000000000000004,,,,,2.2,,,,,1.0,,,,,0.7
Bahrain,86.2,,,,,76.5,,,,,66.7,,,,,62.599999999999994,,,,,59.0,,,,,55.3,,,,,50.900000000000006,,,,,46.4,,,,,42.1,,,,,38.7,,,,,34.6,,,,,22.6
Bangladesh,88.6,,,,,86.9,,,,,85.4,,,,,83.00000000000001,,,,,80.6,,,,,78.3,,,,,76.2,,,,,72.0,,,,,66.3,,,,,60.199999999999996,,,,,53.3,,,,,45.4
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,17.4
Belarus,34.4,,,,,17.599999999999998,,,,,6.3,,,,,1.7,,,,,0.6,,,,,0.5,,,,,0.6000000000000001,,,,,0.6000000000000001,,,,,0.7000000000000001,,,,,0.6000000000000001,,,,,0.8,,,,,0.6000000000000001
Belgium,37.9,,,,,28.7,,,,,21.2,,,,,16.2,,,,,13.0,,,,,9.7,,,,,7.4,,,,,6.3,,,,,5.5,,,,,5.0,,,,,5.0,,,,,3.2
Belize,82.8,,,,,78.3,,,,,73.1,,,,,72.9,,,,,69.9,,,,,66.4,,,,,61.099999999999994,,,,,56.0,,,,,52.5,,,,,47.4,,,,,41.2,,,,,36.8
Benin,96.6,,,,,95.0,,,,,93.6,,,,,91.1,,,,,88.69999999999999,,,,,86.7,,,,,88.9,,,,,89.7,,,,,85.30000000000001,,,,,77.4,,,,,73.0,,,,,71.7
Bhutan,98.2,,,,,97.7,,,,,95.4,,,,,92.0,,,,,89.69999999999999,,,,,86.5,,,,,81.6,,,,,79.3,,,,,71.7,,,,,60.9,,,,,56.4,,,,,51.8
Bolivia (Plurinational State of),75.0,,,,,71.1,,,,,65.8,,,,,59.7,,,,,54.6,,,,,50.7,,,,,45.900000000000006,,,,,38.5,,,,,29.700000000000003,,,,,22.5,,,,,18.2,,,,,14.799999999999999
Bosnia and Herzegovina,60.400000000000006,,,,,52.2,,,,,40.9,,,,,28.6,,,,,19.2,,,,,11.899999999999999,,,,,6.1,,,,,3.1999999999999997,,,,,2.6,,,,,2.4,,,,,1.9,,,,,1.6
Botswana,93.60000000000001,,,,,89.8,,,,,85.6,,,,,79.69999999999999,,,,,72.8,,,,,64.5,,,,,56.400000000000006,,,,,49.4,,,,,35.0,,,,,19.3,,,,,21.2,,,,,16.8
Brazil,79.30000000000001,,,,,75.0,,,,,68.5,,,,,61.3,,,,,55.099999999999994,,,,,50.699999999999996,,,,,47.8,,,,,43.2,,,,,36.2,,,,,28.200000000000003,,,,,26.0,,,,,22.2
