Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,98.4,,,,,97.7,,,,,97.3,,,,,95.4,,,,,94.3,,,,,93.1,,,,,91.8,,,,,92.0,,,,,91.4,,,,,85.7,,,,,72.9,,,,,56.3
Albania,13.0,,,,,6.699999999999999,,,,,3.9000000000000004,,,,,2.3,,,,,1.8,,,,,1.7,,,,,1.7,,,,,2.0,,,,,2.5999999999999996,,,,,3.6,,,,,4.3,,,,,2.6
Algeria,91.89999999999999,,,,,84.0,,,,,74.39999999999999,,,,,65.6,,,,,54.4,,,,,43.1,,,,,33.8,,,,,25.799999999999997,,,,,19.3,,,,,13.8,,,,,11.1,,,,,8.0
Angola,96.8,,,,,96.7,,,,,95.9,,,,,94.8,,,,,92.5,,,,,88.0,,,,,81.6,,,,,80.8,,,,,81.5,,,,,81.3,,,,,76.9,,,,,53.3
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.1
Argentina,31.1,,,,,26.8,,,,,22.5,,,,,18.4,,,,,15.1,,,,,12.5,,,,,10.3,,,,,8.5,,,,,7.3,,,,,6.5,,,,,6.2,,,,,4.6
Armenia,1.8,,,,,0.8,,,,,0.4,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2
Aruba,45.5,,,,,33.0,,,,,28.4,,,,,21.6,,,,,15.5,,,,,11.3,,,,,9.6,,,,,7.4,,,,,5.7,,,,,4.300000000000001,,,,,3.3,,,,,1.3
Australia,2.6,,,,,1.6,,,,,1.2,,,,,1.1,,,,,0.9,,,,,0.7,,,,,0.6,,,,,0.4,,,,,0.4,,,,,0.3,,,,,0.2,,,,,0.1
Austria,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
