Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1.5,1.64,1.78,1.92,2.06,2.2,2.3,2.4,2.5,2.6,2.7,3.08,3.46,3.84,4.22,4.6,4.8,5.0,5.2,5.4,5.6,5.82,6.04,6.26,6.48,6.7,6.94,7.18,7.42,7.66,7.9,7.82,7.74,7.66,7.58,7.5,7.52,7.54,7.56,7.58,7.6,8.36,9.12,9.88,10.64,11.4,13.06,14.72,16.38,18.04,19.7,22.18,24.66,27.14,29.62,32.1
Albania,77.8,77.6,77.4,77.2,77.0,76.8,75.94,75.08,74.22,73.36,72.5,72.02,71.54,71.06,70.58,70.1,69.74,69.38,69.02,68.66,68.3,67.54,66.78,66.02,65.26,64.5,63.44,62.38,61.32,60.26,59.2,58.52,57.84,57.16,56.48,55.8,55.38,54.96,54.54,54.12,53.7,52.14,50.58,49.02,47.46,45.9,45.42,44.94,44.46,43.98,43.5,42.2,40.9,39.6,38.3,37.0
Algeria,8.0,9.42,10.84,12.26,13.68,15.1,17.02,18.94,20.86,22.78,24.7,26.12,27.54,28.96,30.38,31.8,33.28,34.76,36.24,37.72,39.2,40.24,41.28,42.32,43.36,44.4,44.78,45.16,45.54,45.92,46.3,46.1,45.9,45.7,45.5,45.3,44.46,43.62,42.78,41.94,41.1,40.36,39.62,38.88,38.14,37.4,36.12,34.84,33.56,32.28,31.0,29.76,28.52,27.28,26.04,24.8
Angola,3.1,3.14,3.18,3.22,3.26,3.3,3.46,3.62,3.78,3.94,4.1,4.32,4.54,4.76,4.98,5.2,5.66,6.12,6.58,7.04,7.5,8.36,9.22,10.08,10.94,11.8,13.06,14.32,15.58,16.84,18.1,18.26,18.42,18.58,18.74,18.9,18.72,18.54,18.36,18.18,18.0,18.02,18.04,18.06,18.08,18.1,18.82,19.54,20.26,20.98,21.7,25.88,30.06,34.24,38.42,42.6
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,8.16,12.24,16.32,20.4
Argentina,62.7,62.94,63.18,63.42,63.66,63.9,63.92,63.94,63.96,63.98,64.0,63.84,63.68,63.52,63.36,63.2,62.8,62.4,62.0,61.6,61.2,60.6,60.0,59.4,58.8,58.2,57.44,56.68,55.92,55.16,54.4,53.66,52.92,52.18,51.44,50.7,49.84,48.98,48.12,47.26,46.4,45.26,44.12,42.98,41.84,40.7,39.72,38.74,37.76,36.78,35.8,34.76,33.72,32.68,31.64,30.6
Armenia,35.9,34.12,32.34,30.56,28.78,27.0,26.02,25.04,24.06,23.08,22.1,21.58,21.06,20.54,20.02,19.5,19.12,18.74,18.36,17.98,17.6,17.28,16.96,16.64,16.32,16.0,15.72,15.44,15.16,14.88,14.6,14.38,14.16,13.94,13.72,13.5,13.3,13.1,12.9,12.7,12.5,12.42,12.34,12.26,12.18,12.1,12.22,12.34,12.46,12.58,12.7,11.9,11.1,10.3,9.5,8.7
Aruba,52.5,54.56,56.62,58.68,60.74,62.8,63.1,63.4,63.7,64.0,64.3,64.6,64.9,65.2,65.5,65.8,66.14,66.48,66.82,67.16,67.5,67.52,67.54,67.56,67.58,67.6,67.44,67.28,67.12,66.96,66.8,66.56,66.32,66.08,65.84,65.6,64.68,63.76,62.84,61.92,61.0,60.32,59.64,58.96,58.28,57.6,55.98,54.36,52.74,51.12,49.5,47.86,46.22,44.58,42.94,41.3
Australia,42.3,40.44,38.58,36.72,34.86,33.0,31.4,29.8,28.2,26.6,25.0,23.76,22.52,21.28,20.04,18.8,18.02,17.24,16.46,15.68,14.9,14.36,13.82,13.28,12.74,12.2,11.76,11.32,10.88,10.44,10.0,9.66,9.32,8.98,8.64,8.3,8.06,7.82,7.58,7.34,7.1,6.9,6.7,6.5,6.3,6.1,6.0,5.9,5.8,5.7,5.6,5.26,4.92,4.58,4.24,3.9
Austria,65.4,64.08,62.76,61.44,60.12,58.8,57.62,56.44,55.26,54.08,52.9,51.78,50.66,49.54,48.42,47.3,45.74,44.18,42.62,41.06,39.5,37.76,36.02,34.28,32.54,30.8,29.72,28.64,27.56,26.48,25.4,25.06,24.72,24.38,24.04,23.7,23.54,23.38,23.22,23.06,22.9,22.6,22.3,22.0,21.7,21.4,21.06,20.72,20.38,20.04,19.7,19.48,19.26,19.04,18.82,18.6
Azerbaijan,48.5,46.74,44.98,43.22,41.46,39.7,38.14,36.58,35.02,33.46,31.9,30.9,29.9,28.9,27.9,26.9,26.26,25.62,24.98,24.34,23.7,23.18,22.66,22.14,21.62,21.1,20.54,19.98,19.42,18.86,18.3,17.74,17.18,16.62,16.06,15.5,15.04,14.58,14.12,13.66,13.2,12.86,12.52,12.18,11.84,11.5,11.42,11.34,11.26,11.18,11.1,10.5,9.9,9.3,8.7,8.1
Bahamas,49.8,48.62,47.44,46.26,45.08,43.9,42.3,40.7,39.1,37.5,35.9,34.16,32.42,30.68,28.94,27.2,25.94,24.68,23.42,22.16,20.9,20.08,19.26,18.44,17.62,16.8,16.12,15.44,14.76,14.08,13.4,12.8,12.2,11.6,11.0,10.4,9.74,9.08,8.42,7.76,7.1,6.58,6.06,5.54,5.02,4.5,4.3,4.1,3.9,3.7,3.5,3.34,3.18,3.02,2.86,2.7
Bahrain,9.7,11.08,12.46,13.84,15.22,16.6,17.78,18.96,20.14,21.32,22.5,22.68,22.86,23.04,23.22,23.4,23.46,23.52,23.58,23.64,23.7,23.6,23.5,23.4,23.3,23.2,22.96,22.72,22.48,22.24,22.0,21.64,21.28,20.92,20.56,20.2,19.78,19.36,18.94,18.52,18.1,17.64,17.18,16.72,16.26,15.8,15.34,14.88,14.42,13.96,13.5,16.86,20.22,23.58,26.94,30.3
Bangladesh,10.5,11.1,11.7,12.3,12.9,13.5,14.12,14.74,15.36,15.98,16.6,17.6,18.6,19.6,20.6,21.6,22.24,22.88,23.52,24.16,24.8,25.54,26.28,27.02,27.76,28.5,29.12,29.74,30.36,30.98,31.6,32.66,33.72,34.78,35.84,36.9,38.18,39.46,40.74,42.02,43.3,44.62,45.94,47.26,48.58,49.9,50.42,50.94,51.46,51.98,52.5,53.02,53.54,54.06,54.58,55.1
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,8.16,12.24,16.32,20.4
