Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.0,,,,,0.0,,,,,0.1,,,,,0.1,,,,,0.1,,,,,0.1,,,,,0.3,,,,,0.5,,,,,1.1,,,,,2.9,,,,,7.4,,,,,11.6
Albania,9.299999999999999,,,,,16.5,,,,,23.5,,,,,27.6,,,,,29.9,,,,,33.9,,,,,39.0,,,,,42.2,,,,,43.8,,,,,50.7,,,,,52.3,,,,,60.4
Algeria,0.2,,,,,0.8999999999999999,,,,,0.8999999999999999,,,,,2.7,,,,,6.5,,,,,12.5,,,,,19.8,,,,,28.9,,,,,39.6,,,,,48.800000000000004,,,,,58.0,,,,,67.1
Angola,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.2,,,,,0.3,,,,,0.4,,,,,0.6,,,,,1.4,,,,,4.0
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,78.5
Argentina,6.1000000000000005,,,,,9.2,,,,,13.5,,,,,18.5,,,,,23.700000000000003,,,,,29.299999999999997,,,,,35.2,,,,,40.9,,,,,46.3,,,,,52.900000000000006,,,,,58.0,,,,,88.60000000000001
Armenia,62.4,,,,,72.2,,,,,77.39999999999999,,,,,80.3,,,,,82.2,,,,,83.8,,,,,85.2,,,,,86.3,,,,,87.2,,,,,87.7,,,,,87.1,,,,,91.1
Aruba,2.0,,,,,4.2,,,,,7.4,,,,,12.6,,,,,17.0,,,,,21.1,,,,,23.6,,,,,27.0,,,,,33.3,,,,,38.1,,,,,47.1,,,,,57.3
Australia,55.1,,,,,65.3,,,,,73.8,,,,,80.1,,,,,84.1,,,,,87.1,,,,,89.5,,,,,91.19999999999999,,,,,92.6,,,,,93.6,,,,,94.19999999999999,,,,,129.2
Austria,34.6,,,,,41.199999999999996,,,,,47.1,,,,,52.7,,,,,60.6,,,,,69.2,,,,,74.5,,,,,76.3,,,,,77.1,,,,,78.6,,,,,80.3,,,,,117.70000000000002
Azerbaijan,42.1,,,,,54.7,,,,,65.0,,,,,71.6,,,,,75.5,,,,,78.5,,,,,81.5,,,,,84.2,,,,,86.6,,,,,88.3,,,,,88.8,,,,,91.80000000000001
Bahamas,27.3,,,,,39.0,,,,,52.7,,,,,65.7,,,,,75.0,,,,,80.6,,,,,84.7,,,,,88.3,,,,,91.6,,,,,94.8,,,,,96.1,,,,,97.1
Bahrain,1.1,,,,,5.1,,,,,12.5,,,,,17.2,,,,,22.7,,,,,28.9,,,,,35.9,,,,,43.2,,,,,50.4,,,,,57.400000000000006,,,,,64.0,,,,,84.3
Bangladesh,0.0,,,,,0.1,,,,,0.1,,,,,0.2,,,,,0.4,,,,,1.0,,,,,2.0,,,,,3.9000000000000004,,,,,7.1,,,,,12.3,,,,,20.700000000000003,,,,,27.3
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,78.5
Belarus,43.7,,,,,60.7,,,,,79.9,,,,,87.3,,,,,89.0,,,,,90.2,,,,,91.2,,,,,92.1,,,,,93.30000000000001,,,,,94.69999999999999,,,,,94.60000000000001,,,,,96.3
Belgium,20.6,,,,,27.200000000000003,,,,,33.1,,,,,38.2,,,,,43.1,,,,,47.8,,,,,50.900000000000006,,,,,53.0,,,,,55.7,,,,,59.2,,,,,63.7,,,,,95.6
Belize,2.7,,,,,4.3,,,,,7.0,,,,,9.7,,,,,13.6,,,,,17.7,,,,,22.4,,,,,26.900000000000002,,,,,32.5,,,,,40.4,,,,,48.800000000000004,,,,,70.60000000000001
Benin,0.0,,,,,0.0,,,,,0.2,,,,,0.30000000000000004,,,,,0.7,,,,,1.3,,,,,1.4,,,,,1.3,,,,,1.5,,,,,2.7,,,,,6.699999999999999,,,,,9.1
Bhutan,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.2,,,,,0.7,,,,,2.1,,,,,5.9,,,,,14.0,,,,,16.3,,,,,18.5
Bolivia (Plurinational State of),2.8,,,,,3.5,,,,,4.7,,,,,6.6000000000000005,,,,,9.4,,,,,13.0,,,,,17.1,,,,,22.0,,,,,28.099999999999998,,,,,34.5,,,,,41.4,,,,,68.6
Bosnia and Herzegovina,6.4,,,,,11.9,,,,,20.9,,,,,31.2,,,,,41.1,,,,,51.900000000000006,,,,,59.7,,,,,65.5,,,,,71.5,,,,,79.1,,,,,88.9,,,,,112.80000000000001
Botswana,0.2,,,,,0.7,,,,,1.9,,,,,4.4,,,,,8.200000000000001,,,,,13.0,,,,,18.7,,,,,23.5,,,,,30.5,,,,,41.2,,,,,46.7,,,,,73.7
Brazil,3.2,,,,,4.5,,,,,6.8,,,,,10.399999999999999,,,,,15.299999999999999,,,,,21.2,,,,,27.599999999999998,,,,,34.6,,,,,41.8,,,,,49.199999999999996,,,,,54.7,,,,,71.4
Brunei Darussalam,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,58.0
Bulgaria,34.800000000000004,,,,,42.7,,,,,48.699999999999996,,,,,52.5,,,,,56.5,,,,,60.5,,,,,64.3,,,,,67.1,,,,,68.2,,,,,67.9,,,,,66.3,,,,,95.9
Burkina Faso,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.30000000000000004,,,,,0.6,,,,,0.9,,,,,0.9,,,,,3.4,,,,,5.8
Burundi,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.30000000000000004,,,,,0.8,,,,,1.5,,,,,2.4,,,,,2.5,,,,,5.5
Cambodia,0.1,,,,,0.1,,,,,0.2,,,,,0.3,,,,,0.4,,,,,0.5,,,,,1.3,,,,,3.6,,,,,5.7,,,,,7.0,,,,,9.8,,,,,15.700000000000001
Cameroon,0.1,,,,,0.2,,,,,0.6,,,,,1.3,,,,,2.5,,,,,3.8000000000000003,,,,,6.1,,,,,8.9,,,,,12.9,,,,,18.2,,,,,21.900000000000002,,,,,25.5
Canada,48.7,,,,,54.599999999999994,,,,,59.099999999999994,,,,,62.5,,,,,66.0,,,,,69.6,,,,,72.4,,,,,74.4,,,,,76.4,,,,,78.1,,,,,79.4,,,,,132.5
Cape Verde,0.0,,,,,0.1,,,,,0.30000000000000004,,,,,0.5,,,,,1.2,,,,,2.0,,,,,3.0,,,,,4.8,,,,,9.0,,,,,12.799999999999999,,,,,14.3,,,,,17.0
Central African Republic,0.0,,,,,0.0,,,,,0.0,,,,,0.6,,,,,0.3,,,,,0.1,,,,,0.2,,,,,0.6,,,,,2.3000000000000003,,,,,4.1,,,,,5.8,,,,,7.5
Chad,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.2,,,,,0.4,,,,,0.7,,,,,1.8,,,,,4.3
Channel Islands,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,82.9
Chile,11.799999999999999,,,,,15.6,,,,,21.0,,,,,27.4,,,,,33.9,,,,,40.1,,,,,45.2,,,,,48.6,,,,,52.0,,,,,59.2,,,,,66.4,,,,,73.6
China,1.3,,,,,2.6,,,,,4.6,,,,,8.6,,,,,13.1,,,,,14.6,,,,,17.0,,,,,22.7,,,,,30.700000000000003,,,,,37.400000000000006,,,,,44.599999999999994,,,,,78.1
Colombia,1.9000000000000001,,,,,3.4,,,,,6.0,,,,,10.0,,,,,16.0,,,,,23.0,,,,,30.4,,,,,38.7,,,,,49.0,,,,,57.8,,,,,62.3,,,,,88.7
Comoros,0.0,,,,,0.0,,,,,0.0,,,,,0.2,,,,,1.0,,,,,2.8,,,,,4.0,,,,,4.8,,,,,7.199999999999999,,,,,11.7,,,,,18.4,,,,,29.700000000000003
Congo,0.1,,,,,0.30000000000000004,,,,,0.8,,,,,1.7,,,,,3.5,,,,,5.7,,,,,7.9,,,,,11.0,,,,,11.3,,,,,10.0,,,,,10.5,,,,,17.0
Costa Rica,5.5,,,,,8.5,,,,,12.7,,,,,17.299999999999997,,,,,21.9,,,,,25.5,,,,,28.0,,,,,31.400000000000002,,,,,35.5,,,,,40.6,,,,,46.4,,,,,52.2
