Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.54,0.57,0.6,0.62,0.65,0.68,0.71,0.74,0.78,0.81,0.84,0.9,0.96,1.03,1.09,1.15,1.25,1.35,1.44,1.54,1.64,1.72,1.8,1.88,1.96,2.04,2.18,2.32,2.46,2.6,2.74,2.9,3.06,3.22,3.38,3.54,3.59,3.64,3.7,3.75,3.8,3.81,3.81,3.82,3.82,3.83,3.84,3.85,3.86,3.87,3.88,3.96,4.04,4.13,4.21,4.29
Albania,4.63,5.15,5.66,6.18,6.69,7.21,7.81,8.41,9.02,9.62,10.22,10.75,11.29,11.82,12.36,12.89,13.35,13.82,14.28,14.75,15.21,15.69,16.17,16.64,17.12,17.6,18.0,18.39,18.79,19.18,19.58,19.75,19.92,20.08,20.25,20.42,20.48,20.53,20.59,20.64,20.7,20.73,20.77,20.8,20.84,20.87,20.88,20.9,20.91,20.93,20.94,20.9,20.86,20.82,20.78,20.74
Algeria,0.64,0.74,0.84,0.95,1.05,1.15,1.31,1.46,1.62,1.77,1.93,2.19,2.45,2.72,2.98,3.24,3.65,4.06,4.47,4.88,5.29,5.77,6.25,6.74,7.22,7.7,8.12,8.54,8.97,9.39,9.81,10.22,10.62,11.03,11.43,11.84,12.33,12.82,13.3,13.79,14.28,14.77,15.26,15.74,16.23,16.72,17.08,17.44,17.81,18.17,18.53,18.73,18.93,19.14,19.34,19.54
Angola,0.73,0.76,0.79,0.83,0.86,0.89,0.93,0.97,1.01,1.05,1.09,1.14,1.19,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.67,1.73,1.8,1.86,1.93,2.03,2.13,2.22,2.32,2.42,2.56,2.69,2.83,2.96,3.1,3.27,3.44,3.61,3.78,3.95,4.12,4.29,4.47,4.64,4.81,4.9,4.99,5.09,5.18,5.27,5.26,5.26,5.25,5.25,5.24
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,8.8,13.21,17.61,22.01
Argentina,11.96,12.12,12.28,12.45,12.61,12.77,12.93,13.08,13.24,13.39,13.55,13.71,13.87,14.02,14.18,14.34,14.52,14.7,14.87,15.05,15.23,15.41,15.59,15.78,15.96,16.14,16.34,16.53,16.73,16.92,17.12,17.31,17.5,17.7,17.89,18.08,18.25,18.42,18.59,18.76,18.93,19.08,19.24,19.39,19.55,19.7,19.83,19.96,20.08,20.21,20.34,20.45,20.56,20.66,20.77,20.88
Armenia,8.85,9.61,10.37,11.14,11.9,12.66,13.38,14.1,14.81,15.53,16.25,16.77,17.29,17.8,18.32,18.84,19.19,19.53,19.88,20.22,20.57,20.79,21.01,21.23,21.45,21.67,21.73,21.79,21.84,21.9,21.96,21.94,21.92,21.91,21.89,21.87,21.87,21.86,21.86,21.85,21.85,21.88,21.91,21.94,21.97,22.0,22.04,22.07,22.11,22.14,22.18,22.15,22.12,22.09,22.06,22.03
Aruba,7.18,7.4,7.61,7.83,8.04,8.26,8.47,8.68,8.9,9.11,9.32,9.59,9.86,10.14,10.41,10.68,11.03,11.39,11.74,12.1,12.45,12.75,13.05,13.36,13.66,13.96,14.23,14.5,14.77,15.04,15.31,15.56,15.81,16.07,16.32,16.57,16.83,17.08,17.34,17.59,17.85,18.08,18.31,18.55,18.78,19.01,19.13,19.25,19.38,19.5,19.62,19.64,19.66,19.68,19.7,19.72
Australia,18.07,18.28,18.49,18.69,18.9,19.11,19.34,19.57,19.81,20.04,20.27,20.5,20.74,20.97,21.21,21.44,21.66,21.89,22.11,22.34,22.56,22.77,22.98,23.19,23.4,23.61,23.79,23.97,24.15,24.33,24.51,24.63,24.76,24.88,25.01,25.13,25.21,25.28,25.36,25.43,25.51,25.58,25.66,25.73,25.81,25.88,26.06,26.25,26.43,26.62,26.8,27.08,27.36,27.63,27.91,28.19
Austria,15.97,16.09,16.21,16.32,16.44,16.56,16.67,16.78,16.88,16.99,17.1,17.24,17.37,17.51,17.64,17.78,18.02,18.27,18.51,18.76,19.0,19.31,19.62,19.94,20.25,20.56,20.79,21.03,21.26,21.5,21.73,21.88,22.03,22.17,22.32,22.47,22.61,22.75,22.88,23.02,23.16,23.27,23.39,23.5,23.62,23.73,23.81,23.88,23.96,24.03,24.11,24.28,24.45,24.63,24.8,24.97
Azerbaijan,9.4,9.88,10.35,10.83,11.3,11.78,12.26,12.74,13.21,13.69,14.17,14.53,14.9,15.26,15.63,15.99,16.3,16.6,16.91,17.21,17.52,17.85,18.18,18.51,18.84,19.17,19.4,19.64,19.87,20.11,20.34,20.44,20.54,20.64,20.74,20.84,20.85,20.87,20.88,20.9,20.91,20.89,20.87,20.86,20.84,20.82,20.83,20.85,20.86,20.88,20.89,21.08,21.27,21.47,21.66,21.85
Bahamas,14.88,14.89,14.9,14.91,14.92,14.93,15.06,15.19,15.33,15.46,15.59,15.86,16.13,16.39,16.66,16.93,17.3,17.67,18.03,18.4,18.77,19.19,19.61,20.04,20.46,20.88,21.3,21.72,22.14,22.56,22.98,23.29,23.61,23.92,24.24,24.55,24.74,24.93,25.13,25.32,25.51,25.63,25.75,25.88,26.0,26.12,26.19,26.26,26.33,26.4,26.47,26.39,26.31,26.24,26.16,26.08
Bahrain,1.08,1.31,1.54,1.78,2.01,2.24,2.31,2.39,2.46,2.54,2.61,2.88,3.15,3.41,3.68,3.95,4.36,4.77,5.17,5.58,5.99,6.43,6.87,7.31,7.75,8.19,8.63,9.07,9.52,9.96,10.4,10.84,11.27,11.71,12.14,12.58,13.0,13.42,13.83,14.25,14.67,15.03,15.39,15.76,16.12,16.48,16.75,17.03,17.3,17.58,17.85,18.0,18.15,18.31,18.46,18.61
Bangladesh,3.3,3.33,3.37,3.4,3.44,3.47,3.54,3.61,3.67,3.74,3.81,3.89,3.97,4.06,4.14,4.22,4.32,4.42,4.51,4.61,4.71,4.81,4.92,5.02,5.13,5.23,5.36,5.49,5.62,5.75,5.88,6.03,6.18,6.32,6.47,6.62,6.76,6.9,7.03,7.17,7.31,7.45,7.59,7.72,7.86,8.0,8.19,8.38,8.57,8.76,8.95,9.23,9.5,9.78,10.05,10.33
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,8.46,12.68,16.91,21.14
Belarus,13.43,13.6,13.77,13.95,14.12,14.29,14.37,14.46,14.54,14.63,14.71,14.98,15.25,15.53,15.8,16.07,16.48,16.89,17.3,17.71,18.12,18.49,18.85,19.22,19.58,19.95,20.2,20.45,20.71,20.96,21.21,21.31,21.4,21.5,21.59,21.69,21.72,21.74,21.77,21.79,21.82,21.88,21.94,22.01,22.07,22.13,22.36,22.58,22.81,23.03,23.26,23.41,23.57,23.72,23.88,24.03
Belgium,15.28,15.38,15.48,15.58,15.68,15.78,15.9,16.03,16.15,16.28,16.4,16.59,16.78,16.96,17.15,17.34,17.61,17.88,18.15,18.42,18.69,18.95,19.21,19.48,19.74,20.0,20.2,20.4,20.59,20.79,20.99,21.15,21.3,21.46,21.61,21.77,21.93,22.08,22.24,22.39,22.55,22.72,22.89,23.06,23.23,23.4,23.54,23.69,23.83,23.98,24.12,24.27,24.41,24.56,24.7,24.85
Belize,7.96,8.1,8.25,8.39,8.54,8.68,8.84,9.0,9.17,9.33,9.49,9.68,9.87,10.06,10.25,10.44,10.65,10.86,11.06,11.27,11.48,11.71,11.93,12.16,12.38,12.61,12.76,12.9,13.05,13.19,13.34,13.43,13.52,13.61,13.7,13.79,13.91,14.03,14.15,14.27,14.39,14.55,14.71,14.87,15.03,15.19,15.37,15.55,15.74,15.92,16.1,16.27,16.44,16.6,16.77,16.94
Benin,0.66,0.7,0.74,0.77,0.81,0.85,0.92,0.99,1.06,1.13,1.2,1.31,1.41,1.52,1.62,1.73,1.86,1.99,2.12,2.25,2.38,2.5,2.62,2.75,2.87,2.99,3.12,3.25,3.39,3.52,3.65,3.82,3.98,4.15,4.31,4.48,4.66,4.84,5.02,5.2,5.38,5.48,5.58,5.69,5.79,5.89,5.88,5.87,5.85,5.84,5.83,5.92,6.01,6.11,6.2,6.29
Bhutan,0.32,0.34,0.36,0.38,0.4,0.42,0.45,0.48,0.5,0.53,0.56,0.6,0.64,0.68,0.72,0.76,0.81,0.86,0.92,0.97,1.02,1.13,1.23,1.34,1.44,1.55,1.74,1.94,2.13,2.33,2.52,2.67,2.83,2.98,3.14,3.29,3.43,3.57,3.7,3.84,3.98,4.25,4.53,4.8,5.08,5.35,5.58,5.81,6.03,6.26,6.49,6.76,7.03,7.29,7.56,7.83
Bolivia (Plurinational State of),7.64,7.66,7.68,7.7,7.72,7.74,7.83,7.92,8.0,8.09,8.18,8.35,8.51,8.68,8.84,9.01,9.22,9.43,9.65,9.86,10.07,10.32,10.57,10.82,11.07,11.32,11.59,11.87,12.14,12.42,12.69,12.95,13.2,13.46,13.71,13.97,14.18,14.39,14.6,14.81,15.02,15.23,15.43,15.64,15.84,16.05,16.3,16.55,16.8,17.05,17.3,17.64,17.98,18.33,18.67,19.01
Bosnia and Herzegovina,4.5,4.83,5.16,5.5,5.83,6.16,6.49,6.82,7.16,7.49,7.82,8.24,8.66,9.08,9.5,9.92,10.39,10.85,11.32,11.78,12.25,12.7,13.15,13.6,14.05,14.5,14.97,15.44,15.9,16.37,16.84,17.24,17.63,18.03,18.42,18.82,19.13,19.45,19.76,20.08,20.39,20.64,20.89,21.14,21.39,21.64,21.78,21.93,22.07,22.22,22.36,22.47,22.58,22.69,22.8,22.91
Botswana,2.97,3.05,3.13,3.21,3.29,3.37,3.44,3.51,3.59,3.66,3.73,3.87,4.01,4.16,4.3,4.44,4.7,4.96,5.21,5.47,5.73,6.07,6.41,6.75,7.09,7.43,7.78,8.13,8.49,8.84,9.19,9.56,9.94,10.31,10.69,11.06,11.52,11.98,12.44,12.9,13.36,13.87,14.38,14.9,15.41,15.92,16.33,16.74,17.15,17.56,17.97,18.25,18.54,18.82,19.11,19.39
Brazil,5.16,5.28,5.41,5.53,5.66,5.78,5.89,5.99,6.1,6.2,6.31,6.43,6.56,6.68,6.81,6.93,7.1,7.28,7.45,7.63,7.8,8.05,8.3,8.55,8.8,9.05,9.35,9.65,9.95,10.25,10.55,10.83,11.11,11.38,11.66,11.94,12.15,12.37,12.58,12.8,13.01,13.16,13.3,13.45,13.59,13.74,13.89,14.03,14.18,14.32,14.47,14.35,14.24,14.12,14.01,13.89
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,7.88,11.83,15.77,19.71
Bulgaria,14.65,14.95,15.25,15.56,15.86,16.16,16.39,16.62,16.85,17.08,17.31,17.52,17.72,17.93,18.13,18.34,18.57,18.79,19.02,19.24,19.47,19.67,19.88,20.08,20.29,20.49,20.65,20.8,20.96,21.11,21.27,21.36,21.46,21.55,21.65,21.74,21.79,21.83,21.88,21.92,21.97,22.0,22.03,22.06,22.09,22.12,22.13,22.14,22.15,22.16,22.17,22.39,22.61,22.82,23.04,23.26
